Parent	Child	EdgeType
1283	DISC1	Gene-Term
1283	ZNF365	Gene-Term
1284	RAB6B	Gene-Term
1284	IGSF21	Gene-Term
1285	FAIM2	Gene-Term
1285	CADM2	Gene-Term
1286	HPCA	Gene-Term
1286	SYNDIG1L	Gene-Term
1287	DNAJA3	Gene-Term
1287	POLG	Gene-Term
1288	KCNAB2	Gene-Term
1288	KCNA6	Gene-Term
1289	GAK	Gene-Term
1289	DCLK1	Gene-Term
1290	PPP1R9B	Gene-Term
1290	SAMD14	Gene-Term
1291	TOR1A	Gene-Term
1291	ATCAY	Gene-Term
1292	SYPL1	Gene-Term
1292	SCAMP1	Gene-Term
1293	FLNA	Gene-Term
1293	TMLHE	Gene-Term
1294	XBP1	Gene-Term
1294	MANF	Gene-Term
1295	NLGN2	Gene-Term
1295	LHFPL4	Gene-Term
1296	GABRG2	Gene-Term
1296	TTYH1	Gene-Term
1297	GNG3	Gene-Term
1297	RGS10	Gene-Term
1298	SLC6A17	Gene-Term
1298	TEX15	Gene-Term
1299	SNAP25	Gene-Term
1299	ZDHHC3	Gene-Term
1300	SPG11	Gene-Term
1300	ALS2	Gene-Term
1301	STX12	Gene-Term
1301	NSG1	Gene-Term
1302	CNIH2	Gene-Term
1302	SYNGR3	Gene-Term
1303	SLC18A1	Gene-Term
1303	SLC16A1	Gene-Term
1304	GRID2	Gene-Term
1304	CBLN3	Gene-Term
1305	EIF2S1	Gene-Term
1305	DARS	Gene-Term
1306	ARHGAP44	Gene-Term
1306	SNX14	Gene-Term
1307	SORCS3	Gene-Term
1307	VPS35	Gene-Term
1308	CDC42	Gene-Term
1308	CDC42SE2	Gene-Term
1309	UBA52	Gene-Term
1309	USP48	Gene-Term
1310	FOXP2	Gene-Term
1310	SRPX2	Gene-Term
1311	CTNNB1	Gene-Term
1311	DACT1	Gene-Term
1312	TBR1	Gene-Term
1312	TSPYL2	Gene-Term
1313	GABRE	Gene-Term
1313	PLCL1	Gene-Term
1314	SLC9A6	Gene-Term
1314	SLC9B2	Gene-Term
1315	SEMA4C	Gene-Term
1315	CHST10	Gene-Term
1316	SEPT8	Gene-Term
1316	ZMYND19	Gene-Term
1317	SLC16A3	Gene-Term
1317	EMB	Gene-Term
1318	FUS	Gene-Term
1318	CHRFAM7A	Gene-Term
1319	RGMA	Gene-Term
1319	MCTP2	Gene-Term
1320	GNRH1	Gene-Term
1320	NSMF	Gene-Term
1321	BCR	Gene-Term
1321	SH2D5	Gene-Term
1322	SHISA6	Gene-Term
