Parent	Child	EdgeType
1680	DROSHA	Gene-Term
1680	DGCR8	Gene-Term
1681	SNAP29	Gene-Term
1681	STX17	Gene-Term
1682	ANK1	Gene-Term
1682	ITGAM	Gene-Term
1683	COPS4	Gene-Term
1683	COPS7B	Gene-Term
1684	STX6	Gene-Term
1684	VPS51	Gene-Term
1685	RELA	Gene-Term
1685	CREBBP	Gene-Term
1686	BRAF	Gene-Term
1686	MAP2K1	Gene-Term
1687	MAPK1	Gene-Term
1687	RPS6KA1	Gene-Term
1688	SEPT6	Gene-Term
1688	SEPT2	Gene-Term
1689	TSC1	Gene-Term
1689	TBC1D7	Gene-Term
1690	PSMA3	Gene-Term
1690	PSMB10	Gene-Term
1691	PTCH1	Gene-Term
1691	SHH	Gene-Term
1692	ABI1	Gene-Term
1692	WASF2	Gene-Term
1693	VPS4B	Gene-Term
1693	CHMP2B	Gene-Term
1694	NRP1	Gene-Term
1694	SEMA3A	Gene-Term
1695	DARS	Gene-Term
1695	EPRS	Gene-Term
1696	EIF3A	Gene-Term
1696	EIF3CL	Gene-Term
1697	CRHR2	Gene-Term
1697	CRH	Gene-Term
1698	CAMK2B	Gene-Term
1698	CAMK2D	Gene-Term
1699	YWHAZ	Gene-Term
1699	YWHAB	Gene-Term
1700	HMGCR	Gene-Term
1700	HMGCS1	Gene-Term
1701	ITGB1	Gene-Term
1701	ITGA5	Gene-Term
1702	EGFR	Gene-Term
1702	EGF	Gene-Term
1703	RPS18	Gene-Term
1703	EIF1AX	Gene-Term
1704	AGER	Gene-Term
1704	S100B	Gene-Term
1705	ACTB	Gene-Term
1705	CFL1	Gene-Term
1706	VPS45	Gene-Term
1706	ZFYVE20	Gene-Term
1707	UBA52	Gene-Term
1707	USP46	Gene-Term
1707	WDR48	Gene-Term
1708	RPL23	Gene-Term
1708	RPS14	Gene-Term
1708	SEC61A1	Gene-Term
1709	EGFR	Gene-Term
1709	SOS1	Gene-Term
1709	GRB2	Gene-Term
1710	GSG1L	Gene-Term
1710	VWC2	Gene-Term
1710	NRN1	Gene-Term
1711	RPS3	Gene-Term
1711	WASF3	Gene-Term
1711	LTV1	Gene-Term
1712	PSMA3	Gene-Term
1712	PSMA7	Gene-Term
1712	PSMB9	Gene-Term
1713	PABPC1	Gene-Term
