Parent	Child	EdgeType
1680	CAMK2B	Gene-Term
1680	CAMK2D	Gene-Term
1681	ACTB	Gene-Term
1681	CFL1	Gene-Term
1682	ANK1	Gene-Term
1682	ITGAM	Gene-Term
1683	MAPK1	Gene-Term
1683	RPS6KA1	Gene-Term
1684	AGER	Gene-Term
1684	S100B	Gene-Term
1685	DARS	Gene-Term
1685	EPRS	Gene-Term
1686	RPS18	Gene-Term
1686	EIF1AX	Gene-Term
1687	TSC1	Gene-Term
1687	TBC1D7	Gene-Term
1688	RELA	Gene-Term
1688	CREBBP	Gene-Term
1689	YWHAZ	Gene-Term
1689	YWHAB	Gene-Term
1690	NRP1	Gene-Term
1690	SEMA3A	Gene-Term
1691	BRAF	Gene-Term
1691	MAP2K1	Gene-Term
1692	SNAP29	Gene-Term
1692	STX17	Gene-Term
1693	DROSHA	Gene-Term
1693	DGCR8	Gene-Term
1694	HMGCR	Gene-Term
1694	HMGCS1	Gene-Term
1695	CRHR2	Gene-Term
1695	CRH	Gene-Term
1696	COPS4	Gene-Term
1696	COPS7B	Gene-Term
1697	PTCH1	Gene-Term
1697	SHH	Gene-Term
1698	VPS45	Gene-Term
1698	ZFYVE20	Gene-Term
1699	PSMA3	Gene-Term
1699	PSMB10	Gene-Term
1700	EIF3A	Gene-Term
1700	EIF3CL	Gene-Term
1701	ITGB1	Gene-Term
1701	ITGA5	Gene-Term
1702	SEPT6	Gene-Term
1702	SEPT2	Gene-Term
1703	PRKCI	Gene-Term
1703	PARD3	Gene-Term
1704	ABI1	Gene-Term
1704	WASF2	Gene-Term
1705	VPS4B	Gene-Term
1705	CHMP2B	Gene-Term
1706	STX6	Gene-Term
1706	VPS51	Gene-Term
1707	LAMP5	Gene-Term
1707	PLEKHA5	Gene-Term
1707	CBLN2	Gene-Term
1708	PPP3CC	Gene-Term
1708	PPP3CA	Gene-Term
1708	PPP3R1	Gene-Term
1709	GABRE	Gene-Term
1709	CHRND	Gene-Term
1709	ZACN	Gene-Term
1710	C11orf85	Gene-Term
1710	CCDC79	Gene-Term
1710	C15orf43	Gene-Term
1711	ACTN1	Gene-Term
1711	VCL	Gene-Term
1711	ACTN4	Gene-Term
1712	CYFIP1	Gene-Term
1712	CYFIP2	Gene-Term
1712	NCKAP1L	Gene-Term
1713	ITGB3	Gene-Term
1713	ITGAV	Gene-Term
1713	ITGA2B	Gene-Term
1714	MAPK8IP2	Gene-Term
1714	MAPK8IP1	Gene-Term
1714	PTPRN	Gene-Term
1715	EFNB2	Gene-Term
1715	EPHB4	Gene-Term
1715	EPHA5	Gene-Term
1716	CRHR2	Gene-Term
1716	UCN	Gene-Term
1716	CRHBP	Gene-Term
1717	UBA52	Gene-Term
1717	USP46	Gene-Term
1717	WDR48	Gene-Term
1718	ITGA2	Gene-Term
1718	SHARPIN	Gene-Term
1718	RNF31	Gene-Term
1719	CDC20	Gene-Term
1719	TRIP13	Gene-Term
1719	MAD2L1	Gene-Term
1720	PSMA3	Gene-Term
1720	PSMA7	Gene-Term
1720	PSMB9	Gene-Term
1721	ARPC2	Gene-Term
1721	ACTR2	Gene-Term
1721	ARPC5	Gene-Term
1722	PPP2CA	Gene-Term
1722	GSK3B	Gene-Term
1722	AKT3	Gene-Term
1723	PPP1CA	Gene-Term
1723	RGMA	Gene-Term
1723	BMPR2	Gene-Term
1724	LRFN3	Gene-Term
1724	FLOT1	Gene-Term
1724	FLOT2	Gene-Term
1725	GNB5	Gene-Term
1725	RGS7	Gene-Term
1725	CCT5	Gene-Term
1726	GSK3B	Gene-Term
1726	CTNNB1	Gene-Term
1726	AXIN1	Gene-Term
1727	PPP2CA	Gene-Term
1727	STRN4	Gene-Term
1727	DYNLL2	Gene-Term
1728	RPL23	Gene-Term
1728	RPS14	Gene-Term
1728	SEC61A1	Gene-Term
1729	GSG1L	Gene-Term
1729	VWC2	Gene-Term
1729	NRN1	Gene-Term
1730	RPS3	Gene-Term
1730	WASF3	Gene-Term
1730	LTV1	Gene-Term
1731	NCK2	Gene-Term
1731	ILK	Gene-Term
1731	LIMS1	Gene-Term
1732	PLAT	Gene-Term
1732	SERPINI1	Gene-Term
1732	SERPINE1	Gene-Term
1733	FGB	Gene-Term
1733	FGA	Gene-Term
1733	FGG	Gene-Term
1734	MYCBP2	Gene-Term
1734	NMNAT2	Gene-Term
1734	FBXO45	Gene-Term
1735	PABPC1	Gene-Term
1735	GSPT1	Gene-Term
1735	GSPT2	Gene-Term
1736	MAPK1	Gene-Term
1736	FABP5	Gene-Term
1736	PIN1	Gene-Term
1737	EGFR	Gene-Term
1737	SOS1	Gene-Term
1737	GRB2	Gene-Term
1738	VAMP4	Gene-Term
1738	STX6	Gene-Term
1738	VTI1A	Gene-Term
1739	AKT1	Gene-Term
1739	NOS3	Gene-Term
1739	FOXO3	Gene-Term
1740	SCAMP5	Gene-Term
1740	APBA2	Gene-Term
1740	CNTNAP1	Gene-Term
1741	RAB5A	Gene-Term
1741	RABEP1	Gene-Term
1741	RABGEF1	Gene-Term
1742	VWC2	Gene-Term
1742	EIF3A	Gene-Term
1742	CCDC36	Gene-Term
1743	PPP2CA	Gene-Term
1743	PPP2R2A	Gene-Term
1743	PPP2R1A	Gene-Term
1744	KCNJ2	Gene-Term
1744	IGF2BP1	Gene-Term
1744	IGF2BP3	Gene-Term
1745	COL4A5	Gene-Term
1745	ITGB1	Gene-Term
1745	COL13A1	Gene-Term
1746	PABPC1	Gene-Term
1746	EIF4E	Gene-Term
1746	EIF4G1	Gene-Term
1747	HRAS	Gene-Term
1747	RAF1	Gene-Term
1747	PIK3CA	Gene-Term
1748	ARF6	Gene-Term
1748	PSD	Gene-Term
1748	KCNK1	Gene-Term
1748	PSD2	Gene-Term
1749	AP2B1	Gene-Term
1749	ARHGEF28	Gene-Term
1749	AP2S1	Gene-Term
1749	AP2M1	Gene-Term
1750	NCSTN	Gene-Term
1750	PSENEN	Gene-Term
1750	APH1A	Gene-Term
1750	CNTN6	Gene-Term
1751	RPS3	Gene-Term
1751	EIF3A	Gene-Term
1751	EIF3B	Gene-Term
1751	EIF3G	Gene-Term
1752	DLG5	Gene-Term
1752	ALS2	Gene-Term
1752	CCDC88A	Gene-Term
1752	TANC2	Gene-Term
1753	C1QB	Gene-Term
1753	C1QC	Gene-Term
1753	C4A	Gene-Term
1753	C4B	Gene-Term
1754	IL1RAPL2	Gene-Term
1754	PTPRD	Gene-Term
1754	PSD3	Gene-Term
1754	SLITRK4	Gene-Term
1755	RAB2B	Gene-Term
1755	FGA	Gene-Term
1755	KMO	Gene-Term
1755	F2	Gene-Term
1756	CYFIP1	Gene-Term
1756	ABI2	Gene-Term
1756	WASF1	Gene-Term
1756	BRK1	Gene-Term
1757	RHEB	Gene-Term
1757	EIF4EBP1	Gene-Term
1757	MTOR	Gene-Term
1757	RPTOR	Gene-Term
1758	MAPK8IP2	Gene-Term
1758	MUSK	Gene-Term
1758	KCNAB2	Gene-Term
1758	AKR1A1	Gene-Term
1759	RPS9	Gene-Term
1759	EIF3A	Gene-Term
1759	EIF3B	Gene-Term
1759	EIF3M	Gene-Term
1760	USP14	Gene-Term
1760	UBA52	Gene-Term
1760	VCP	Gene-Term
1760	PLAA	Gene-Term
1761	RAB3A	Gene-Term
1761	RAB3GAP1	Gene-Term
1761	DMXL2	Gene-Term
1761	RAB3GAP2	Gene-Term
1762	RPS27	Gene-Term
1762	RAB8B	Gene-Term
1762	RAB6B	Gene-Term
1762	ATCAY	Gene-Term
1763	HDAC4	Gene-Term
1763	SUMO1	Gene-Term
1763	HTT	Gene-Term
1763	CTBP1	Gene-Term
1764	SMC1B	Gene-Term
1764	RAD21	Gene-Term
1764	SMC3	Gene-Term
1764	STAG1	Gene-Term
1765	ALCAM	Gene-Term
1765	GRASP	Gene-Term
1765	CNTN6	Gene-Term
1765	CD6	Gene-Term
1766	LAMP1	Gene-Term
1766	DACT1	Gene-Term
1766	SLC16A3	Gene-Term
1766	SLC17A5	Gene-Term
1767	PRKCZ	Gene-Term
1767	PRKCI	Gene-Term
1767	RELA	Gene-Term
1767	ERC1	Gene-Term
1768	CAD	Gene-Term
1768	PDLIM4	Gene-Term
1768	DPYSL3	Gene-Term
1768	DPYSL2	Gene-Term
1769	APP	Gene-Term
1769	APOE	Gene-Term
1769	CYP46A1	Gene-Term
1769	HMGCR	Gene-Term
1770	DOC2A	Gene-Term
1770	PRRT2	Gene-Term
1770	CORO1A	Gene-Term
1770	KCTD13	Gene-Term
1771	EFNA5	Gene-Term
1771	KIRREL3	Gene-Term
1771	EPHA3	Gene-Term
1771	EPHA2	Gene-Term
1772	PABPC1	Gene-Term
1772	EIF4A3	Gene-Term
1772	SMG1	Gene-Term
1772	RBM8A	Gene-Term
1773	DRP2	Gene-Term
1773	C16orf70	Gene-Term
1773	CASK	Gene-Term
1773	FCHSD2	Gene-Term
1774	PLK2	Gene-Term
1774	SYNPO	Gene-Term
1774	NEDD4	Gene-Term
1774	RAPGEF2	Gene-Term
1775	THY1	Gene-Term
1775	ITGA2	Gene-Term
1775	FCGR2B	Gene-Term
1775	CD3E	Gene-Term
1776	CYFIP1	Gene-Term
1776	CYFIP2	Gene-Term
1776	WASF1	Gene-Term
1776	NCKAP1	Gene-Term
1777	TUBA1A	Gene-Term
1777	KIF1A	Gene-Term
1777	DCLK1	Gene-Term
1777	TUBB2B	Gene-Term
1778	ILK	Gene-Term
1778	LIMS2	Gene-Term
1778	PARVA	Gene-Term
1778	PARVB	Gene-Term
1779	SEC22B	Gene-Term
1779	GOSR2	Gene-Term
1779	SEPT11	Gene-Term
1779	SCFD1	Gene-Term
1780	PRKAR1A	Gene-Term
1780	SPTBN1	Gene-Term
1780	PJA2	Gene-Term
1780	CDK5R1	Gene-Term
1781	SLC4A7	Gene-Term
1781	NSF	Gene-Term
1781	CDK16	Gene-Term
1781	NDFIP1	Gene-Term
1782	NPHP4	Gene-Term
1782	KLHL17	Gene-Term
1782	NPHP1	Gene-Term
1782	RPGRIP1L	Gene-Term
1783	CD47	Gene-Term
1783	CD3E	Gene-Term
1783	SEZ6	Gene-Term
1783	CD6	Gene-Term
1784	RAB11A	Gene-Term
1784	MYO5B	Gene-Term
1784	RAB11FIP3	Gene-Term
1784	RAB11FIP2	Gene-Term
1785	PPP2CA	Gene-Term
1785	PPFIA1	Gene-Term
