Parent	Child	EdgeType
1283	BCR	Gene-Term
1283	SH2D5	Gene-Term
1284	FCGR2B	Gene-Term
1284	GSK3A	Gene-Term
1285	EPS15	Gene-Term
1285	MOB4	Gene-Term
1286	RPL3	Gene-Term
1286	APBA3	Gene-Term
1287	STXBP3	Gene-Term
1287	USP8	Gene-Term
1288	CNKSR2	Gene-Term
1288	ARHGAP39	Gene-Term
1289	RPS3	Gene-Term
1289	WASF3	Gene-Term
1290	PLCB4	Gene-Term
1290	DCTN2	Gene-Term
1291	DMD	Gene-Term
1291	SYNC	Gene-Term
1291	DES	Gene-Term
1292	BSN	Gene-Term
1292	SYP	Gene-Term
1292	TPRG1L	Gene-Term
1293	HSPA8	Gene-Term
1293	SEC22B	Gene-Term
1293	ANXA1	Gene-Term
1294	DLG3	Gene-Term
1294	PLCB1	Gene-Term
1294	FBXO45	Gene-Term
1295	EGFR	Gene-Term
1295	ARF4	Gene-Term
1295	NCK2	Gene-Term
1296	CHRNA5	Gene-Term
1296	SPTBN1	Gene-Term
1296	KCNB1	Gene-Term
1297	COL4A5	Gene-Term
1297	ITGB1	Gene-Term
1297	COL13A1	Gene-Term
1298	PPP1CA	Gene-Term
1298	RGMA	Gene-Term
1298	BMPR2	Gene-Term
1299	GSG1L	Gene-Term
1299	VWC2	Gene-Term
1299	NRN1	Gene-Term
1300	CDC42	Gene-Term
1300	CDC42SE1	Gene-Term
1300	CDC42SE2	Gene-Term
1301	PPP2CA	Gene-Term
1301	STRN4	Gene-Term
1301	DYNLL2	Gene-Term
1302	NCK2	Gene-Term
1302	WBP2	Gene-Term
1302	PTPRA	Gene-Term
1303	YWHAQ	Gene-Term
1303	PSMA3	Gene-Term
1303	TRIP13	Gene-Term
1304	ARHGEF7	Gene-Term
1304	PLCG1	Gene-Term
1304	CAMK4	Gene-Term
1305	LAMP1	Gene-Term
1305	FCGR2B	Gene-Term
1305	GZMA	Gene-Term
1306	SEC22B	Gene-Term
1306	MPST	Gene-Term
1306	SEPT11	Gene-Term
1307	PICK1	Gene-Term
1307	SLC6A2	Gene-Term
1307	SLC22A2	Gene-Term
1308	LIN7A	Gene-Term
1308	DLG5	Gene-Term
1308	RAPGEF2	Gene-Term
1309	GRIA1	Gene-Term
1309	PPP1R9B	Gene-Term
1309	USP46	Gene-Term
1310	CTNNB1	Gene-Term
1310	YWHAG	Gene-Term
1310	MAGI2	Gene-Term
1311	MAPK8IP2	Gene-Term
1311	MAPK8IP1	Gene-Term
1311	PTPRN	Gene-Term
1312	ASIC1	Gene-Term
1312	EIF2B1	Gene-Term
1312	P2RX4	Gene-Term
1313	GRM6	Gene-Term
1313	LRIT3	Gene-Term
1313	CABP4	Gene-Term
1314	NPTN	Gene-Term
1314	SEMA4F	Gene-Term
1314	WASF1	Gene-Term
1315	GLRB	Gene-Term
1315	ZACN	Gene-Term
1315	HTR3D	Gene-Term
1316	UBA52	Gene-Term
1316	MIB1	Gene-Term
1316	NEURL1	Gene-Term
1317	PIN1	Gene-Term
1317	NDUFS7	Gene-Term
1317	SYAP1	Gene-Term
1318	SORCS3	Gene-Term
1318	VPS35	Gene-Term
1318	ATP6V0D1	Gene-Term
1319	SNTB2	Gene-Term
1319	PTPRN	Gene-Term
1319	ICA1	Gene-Term
1320	TOR1A	Gene-Term
1320	GAD2	Gene-Term
1320	PTPRN	Gene-Term
1321	ACTB	Gene-Term
1321	CYFIP1	Gene-Term
1321	PHACTR1	Gene-Term
1322	ABI2	Gene-Term
1322	PCDH17	Gene-Term
1322	HOMER3	Gene-Term
1323	PPP1R9B	Gene-Term
1323	PSTPIP1	Gene-Term
1323	SAMD14	Gene-Term
1324	UBA52	Gene-Term
1324	PDZD11	Gene-Term
1324	PLEKHA5	Gene-Term
1325	UBA52	Gene-Term
1325	SUMO1	Gene-Term
1325	PIAS3	Gene-Term
1326	CIB2	Gene-Term
1326	ARFGAP1	Gene-Term
1326	ARHGEF7	Gene-Term
1327	PTPRZ1	Gene-Term
1327	FYN	Gene-Term
1327	ADD2	Gene-Term
1328	MYRIP	Gene-Term
1328	CADM2	Gene-Term
1328	FARP1	Gene-Term
1329	USH1C	Gene-Term
1329	LIN7A	Gene-Term
1329	CNTN2	Gene-Term
1330	VWC2	Gene-Term
1330	EIF3A	Gene-Term
1330	CCDC36	Gene-Term
1331	NEFL	Gene-Term
1331	SYNC	Gene-Term
1331	ARHGEF28	Gene-Term
1332	OLFM3	Gene-Term
1332	SLC2A4	Gene-Term
1332	FLOT1	Gene-Term
1333	STX1A	Gene-Term
1333	SEPT5	Gene-Term
1333	SEPT8	Gene-Term
1334	MUSK	Gene-Term
1334	DNAJA3	Gene-Term
1334	DOK7	Gene-Term
1335	LAMP5	Gene-Term
1335	PLEKHA5	Gene-Term
1335	CBLN2	Gene-Term
1336	SNTA1	Gene-Term
1336	KIF21B	Gene-Term
1336	APBB1	Gene-Term
1337	MT3	Gene-Term
1337	SLC30A1	Gene-Term
1337	SLC30A3	Gene-Term
1338	NUMB	Gene-Term
1338	PPP3CB	Gene-Term
1338	ANK3	Gene-Term
1339	RTN4	Gene-Term
1339	RHOA	Gene-Term
1339	RTN4R	Gene-Term
1340	DGKI	Gene-Term
1340	PLD1	Gene-Term
1340	RAP1A	Gene-Term
1341	DDN	Gene-Term
1341	KCNJ4	Gene-Term
1341	LAMP5	Gene-Term
1342	ATCAY	Gene-Term
1342	CTNNA2	Gene-Term
1342	IGSF21	Gene-Term
1343	GRIA1	Gene-Term
1343	IGSF21	Gene-Term
1343	NEDD4	Gene-Term
1344	CPLX2	Gene-Term
1344	CDC20	Gene-Term
1344	NEUROD2	Gene-Term
1345	MYCBP2	Gene-Term
1345	NMNAT2	Gene-Term
1345	FBXO45	Gene-Term
1346	MDM2	Gene-Term
1346	RGS7BP	Gene-Term
1346	PRIMA1	Gene-Term
1347	KCTD13	Gene-Term
1347	MYCBP2	Gene-Term
1347	KCTD12	Gene-Term
1348	CBLN4	Gene-Term
1348	KCNQ3	Gene-Term
1348	NDRG1	Gene-Term
1349	GDI2	Gene-Term
1349	MAPK1	Gene-Term
1349	TRAPPC4	Gene-Term
1350	CADM3	Gene-Term
1350	CADM1	Gene-Term
1350	PVRL3	Gene-Term
1351	SLC1A7	Gene-Term
1351	SLC16A3	Gene-Term
1351	EMB	Gene-Term
1352	PTK2B	Gene-Term
1352	NPHP4	Gene-Term
1352	KLHL17	Gene-Term
1353	FLNA	Gene-Term
1353	PSEN1	Gene-Term
1353	PSEN2	Gene-Term
1354	PPP1CA	Gene-Term
1354	PPP1CC	Gene-Term
1354	TANC2	Gene-Term
1355	YWHAG	Gene-Term
1355	VDAC1	Gene-Term
1355	PPT1	Gene-Term
1356	LRFN3	Gene-Term
1356	FLOT1	Gene-Term
1356	FLOT2	Gene-Term
1357	APLP1	Gene-Term
1357	LRFN3	Gene-Term
1357	PRODH2	Gene-Term
1358	FUS	Gene-Term
1358	ARHGEF28	Gene-Term
1358	CHRFAM7A	Gene-Term
1359	IL1RAPL2	Gene-Term
1359	PTPRD	Gene-Term
1359	SLITRK4	Gene-Term
1360	AGRN	Gene-Term
1360	PTPRS	Gene-Term
1360	NLGN2	Gene-Term
1361	MAPK1	Gene-Term
1361	FABP5	Gene-Term
1361	PIN1	Gene-Term
1362	ITGA3	Gene-Term
1362	YWHAQ	Gene-Term
1362	LRP8	Gene-Term
1363	EPHB2	Gene-Term
1363	NUMB	Gene-Term
1363	L1CAM	Gene-Term
1364	ARF1	Gene-Term
1364	GRIP1	Gene-Term
1364	RAB3IL1	Gene-Term
1365	GRASP	Gene-Term
1365	DLGAP3	Gene-Term
1365	RGS12	Gene-Term
1366	SRC	Gene-Term
1366	ASAP1	Gene-Term
1366	PAG1	Gene-Term
1367	SUMO1	Gene-Term
1367	ARC	Gene-Term
1367	RNF216	Gene-Term
1368	CRKL	Gene-Term
