Parent	Child	EdgeType
1680	ALCAM	Gene-Term
1680	GRASP	Gene-Term
1680	CNTN6	Gene-Term
1680	CD6	Gene-Term
1681	RPS3	Gene-Term
1681	EIF3A	Gene-Term
1681	EIF3B	Gene-Term
1681	EIF3G	Gene-Term
1682	LRRC7	Gene-Term
1682	CYFIP1	Gene-Term
1682	RAB27A	Gene-Term
1682	CHI3L1	Gene-Term
1683	RHEB	Gene-Term
1683	EIF4EBP1	Gene-Term
1683	MTOR	Gene-Term
1683	RPTOR	Gene-Term
1684	STX2	Gene-Term
1684	SNAP23	Gene-Term
1684	SNAP29	Gene-Term
1684	VAMP8	Gene-Term
1685	CYFIP1	Gene-Term
1685	CYFIP2	Gene-Term
1685	WASF1	Gene-Term
1685	NCKAP1	Gene-Term
1686	RPS9	Gene-Term
1686	EIF3A	Gene-Term
1686	EIF3B	Gene-Term
1686	EIF3M	Gene-Term
1687	CYFIP1	Gene-Term
1687	ABI2	Gene-Term
1687	WASF1	Gene-Term
1687	BRK1	Gene-Term
1688	CDH1	Gene-Term
1688	CTNND1	Gene-Term
1688	CTNNB1	Gene-Term
1688	FER	Gene-Term
1689	RPS3	Gene-Term
1689	EIF3A	Gene-Term
1689	EIF3B	Gene-Term
1689	RPS20	Gene-Term
1689	EIF3I	Gene-Term
1690	PSMC5	Gene-Term
1690	PSMC4	Gene-Term
1690	PSMA3	Gene-Term
1690	PSMA7	Gene-Term
1690	PSMB8	Gene-Term
1691	RPL30	Gene-Term
1691	RPL10A	Gene-Term
1691	RPS27	Gene-Term
1691	RPS17	Gene-Term
1691	RPL36AL	Gene-Term
1692	ATP1A3	Gene-Term
1692	ATP1A1	Gene-Term
1692	ATP1A2	Gene-Term
1692	ATP6V0D1	Gene-Term
1692	FXYD6	Gene-Term
1693	STRN	Gene-Term
1693	PPP2CA	Gene-Term
1693	CTTNBP2	Gene-Term
1693	STRN4	Gene-Term
1693	MOB4	Gene-Term
1694	PSEN1	Gene-Term
1694	NCSTN	Gene-Term
1694	PSENEN	Gene-Term
1694	PSEN2	Gene-Term
1694	APH1B	Gene-Term
1695	EIF2S1	Gene-Term
1695	EIF2B1	Gene-Term
1695	EIF2B2	Gene-Term
1695	EIF2B5	Gene-Term
1695	EIF2B3	Gene-Term
1695	EIF2B4	Gene-Term
1696	VCP	Gene-Term
1696	SIGMAR1	Gene-Term
1696	SPG11	Gene-Term
1696	FUS	Gene-Term
1696	CHMP2B	Gene-Term
1696	ALS2	Gene-Term
1697	AP2B1	Gene-Term
1697	CLTA	Gene-Term
1697	WNT5A	Gene-Term
1697	CLTB	Gene-Term
1697	FZD5	Gene-Term
1697	ROR1	Gene-Term
1698	PSMC5	Gene-Term
1698	PSMC2	Gene-Term
1698	PSMC4	Gene-Term
1698	PSMA8	Gene-Term
1698	PSMD10	Gene-Term
1698	ADRM1	Gene-Term
1699	RPS3	Gene-Term
1699	RPS18	Gene-Term
1699	RPS9	Gene-Term
1699	EIF3A	Gene-Term
1699	EIF3B	Gene-Term
1699	EIF3E	Gene-Term
1700	USH1C	Gene-Term
1700	CIB2	Gene-Term
1700	USH2A	Gene-Term
1700	MYO7A	Gene-Term
1700	PCDH15	Gene-Term
1700	CLRN1	Gene-Term
1701	GNG3	Gene-Term
1701	WNT5A	Gene-Term
1701	GNB5	Gene-Term
1701	PLCB1	Gene-Term
1701	PLCB3	Gene-Term
1701	FZD5	Gene-Term
1701	FZD3	Gene-Term
1702	SEPT5	Gene-Term
1702	SEPT8	Gene-Term
1702	SEPT6	Gene-Term
1702	SEPT3	Gene-Term
1702	SEPT4	Gene-Term
