Parent	Child	EdgeType
1680	C11orf85	Gene-Term
1680	CCDC79	Gene-Term
1680	C15orf43	Gene-Term
1681	RPS9	Gene-Term
1681	EIF3A	Gene-Term
1681	EIF3B	Gene-Term
1681	EIF3M	Gene-Term
1682	LRRC7	Gene-Term
1682	CYFIP1	Gene-Term
1682	RAB27A	Gene-Term
1682	CHI3L1	Gene-Term
1683	USP14	Gene-Term
1683	UBA52	Gene-Term
1683	VCP	Gene-Term
1683	PLAA	Gene-Term
1684	DMTN	Gene-Term
1684	ADD2	Gene-Term
1684	ADD3	Gene-Term
1684	ADD1	Gene-Term
1685	RPS3	Gene-Term
1685	EIF3A	Gene-Term
1685	EIF3B	Gene-Term
1685	EIF3G	Gene-Term
1686	STX2	Gene-Term
1686	SNAP23	Gene-Term
1686	SNAP29	Gene-Term
1686	VAMP8	Gene-Term
1687	CYFIP1	Gene-Term
1687	ABI2	Gene-Term
1687	WASF1	Gene-Term
1687	BRK1	Gene-Term
1688	RHEB	Gene-Term
1688	EIF4EBP1	Gene-Term
1688	MTOR	Gene-Term
1688	RPTOR	Gene-Term
1689	CDH1	Gene-Term
1689	CTNND1	Gene-Term
1689	CTNNB1	Gene-Term
1689	FER	Gene-Term
1690	CYFIP1	Gene-Term
1690	CYFIP2	Gene-Term
1690	WASF1	Gene-Term
1690	NCKAP1	Gene-Term
1691	ALCAM	Gene-Term
1691	GRASP	Gene-Term
1691	CNTN6	Gene-Term
1691	CD6	Gene-Term
1692	RPS3	Gene-Term
1692	EIF3A	Gene-Term
1692	EIF3B	Gene-Term
1692	RPS20	Gene-Term
1692	EIF3I	Gene-Term
1693	USH2A	Gene-Term
1693	CLRN1	Gene-Term
1693	TULP1	Gene-Term
1693	CNGB1	Gene-Term
1693	PRPH2	Gene-Term
1694	RPL30	Gene-Term
1694	RPL10A	Gene-Term
1694	RPS27	Gene-Term
1694	RPS17	Gene-Term
1694	RPL36AL	Gene-Term
1695	CNR1	Gene-Term
1695	ABHD6	Gene-Term
1695	DAGLA	Gene-Term
1695	DAGLB	Gene-Term
1695	NAAA	Gene-Term
1696	VCP	Gene-Term
1696	SIGMAR1	Gene-Term
1696	SPG11	Gene-Term
1696	FUS	Gene-Term
1696	CHMP2B	Gene-Term
1696	ALS2	Gene-Term
1697	AP2B1	Gene-Term
1697	CLTA	Gene-Term
1697	WNT5A	Gene-Term
1697	CLTB	Gene-Term
1697	FZD5	Gene-Term
1697	ROR1	Gene-Term
1698	EIF2S1	Gene-Term
1698	EIF2B1	Gene-Term
1698	EIF2B2	Gene-Term
1698	EIF2B5	Gene-Term
1698	EIF2B3	Gene-Term
1698	EIF2B4	Gene-Term
1699	DGKI	Gene-Term
1699	DGKQ	Gene-Term
1699	DGKZ	Gene-Term
1699	DGKB	Gene-Term
1699	DGKE	Gene-Term
1699	CEL	Gene-Term
1700	RPS3	Gene-Term
1700	RPS18	Gene-Term
1700	RPS9	Gene-Term
1700	EIF3A	Gene-Term
1700	EIF3B	Gene-Term
1700	EIF3E	Gene-Term
1701	PSMC5	Gene-Term
1701	PSMC2	Gene-Term
1701	PSMC4	Gene-Term
1701	PSMA8	Gene-Term
1701	PSMD10	Gene-Term
1701	ADRM1	Gene-Term
1702	SEPT5	Gene-Term
1702	SEPT8	Gene-Term
1702	SEPT6	Gene-Term
1702	SEPT3	Gene-Term
1702	SEPT4	Gene-Term
1702	SEPT11	Gene-Term
1702	SEPT1	Gene-Term
1703	RHOA	Gene-Term
1703	DLG4	Gene-Term
1703	RASGRF2	Gene-Term
1703	CDC42	Gene-Term
1703	RAC1	Gene-Term
1703	FYN	Gene-Term
1703	ARHGAP33	Gene-Term
1704	THY1	Gene-Term
1704	NTNG1	Gene-Term
1704	NTNG2	Gene-Term
1704	CNTN4	Gene-Term
1704	CNTN5	Gene-Term
1704	MDGA1	Gene-Term
1704	NRN1	Gene-Term
1705	ACTR2	Gene-Term
1705	VCP	Gene-Term
1705	UNC13D	Gene-Term
1705	VAT1	Gene-Term
1705	GDI2	Gene-Term
1705	MAPK1	Gene-Term
1705	FABP5	Gene-Term
1706	PSEN1	Gene-Term
1706	NCSTN	Gene-Term
1706	PSENEN	Gene-Term
1706	APH1A	Gene-Term
1706	PSEN2	Gene-Term
1706	CNTN1	Gene-Term
1706	APH1B	Gene-Term
1707	PPP2CA	Gene-Term
1707	PPP1CC	Gene-Term
1707	CDC42	Gene-Term
1707	CDC20	Gene-Term
1707	RPS27	Gene-Term
1707	NDE1	Gene-Term
1707	DYNLL2	Gene-Term
1707	NDEL1	Gene-Term
1708	SNAP29	Gene-Term
1708	RAB5C	Gene-Term
1708	LAMP1	Gene-Term
1708	PSEN1	Gene-Term
1708	DNAJC5	Gene-Term
1708	ARL8A	Gene-Term
1708	SYNGR1	Gene-Term
1708	NCSTN	Gene-Term
1709	GRIK2	Gene-Term
1709	DLG1	Gene-Term
1709	DLG4	Gene-Term
1709	GRIK4	Gene-Term
1709	GRIK5	Gene-Term
1709	DLG3	Gene-Term
1709	GRIK1	Gene-Term
1709	GRIK3	Gene-Term
1710	ARPC2	Gene-Term
1710	ACTR2	Gene-Term
1710	ARPC3	Gene-Term
1710	ARPC5L	Gene-Term
1710	ARPC1A	Gene-Term
1710	ACTR3	Gene-Term
1710	ARPC4	Gene-Term
1710	ARPC1B	Gene-Term
1711	RAB3A	Gene-Term
1711	GDI2	Gene-Term
1711	RAB6B	Gene-Term
1711	RAB18	Gene-Term
1711	DCTN2	Gene-Term
1711	RAB3GAP1	Gene-Term
1711	RAB3GAP2	Gene-Term
1711	DYNLL2	Gene-Term
1712	HSPA8	Gene-Term
1712	HNRNPD	Gene-Term
1712	HNRNPA3	Gene-Term
1712	HNRNPR	Gene-Term
1712	ELAVL1	Gene-Term
1712	EIF4A3	Gene-Term
1712	FUS	Gene-Term
1712	HNRNPH2	Gene-Term
1713	CACNG3	Gene-Term
1713	ADAM23	Gene-Term
1713	DLG4	Gene-Term
1713	LGI1	Gene-Term
1713	ADAM22	Gene-Term
1713	CACNG2	Gene-Term
1713	CACNG4	Gene-Term
1713	CACNG8	Gene-Term
1714	AGRN	Gene-Term
1714	LRP8	Gene-Term
1714	APOE	Gene-Term
1714	SPARCL1	Gene-Term
1714	BCAN	Gene-Term
1714	GPC6	Gene-Term
1714	GPC4	Gene-Term
1714	GPC1	Gene-Term
1714	CSPG5	Gene-Term
1715	CACNA1C	Gene-Term
1715	GRIN1	Gene-Term
1715	DNM1	Gene-Term
1715	PSEN1	Gene-Term
1715	STAT3	Gene-Term
1715	MAPT	Gene-Term
1715	YWHAE	Gene-Term
1715	PSEN2	Gene-Term
1715	SRI	Gene-Term
1716	STX1B	Gene-Term
1716	SYT11	Gene-Term
1716	SYNJ1	Gene-Term
1716	GAK	Gene-Term
1716	DNAJC6	Gene-Term
1716	SNCA	Gene-Term
1716	TMEM230	Gene-Term
1716	VPS35	Gene-Term
1716	PARK7	Gene-Term
1717	USH1C	Gene-Term
1717	ATP2B4	Gene-Term
1717	ATP2B2	Gene-Term
1717	CIB2	Gene-Term
1717	USH2A	Gene-Term
1717	MYO7A	Gene-Term
1717	PCDH15	Gene-Term
1717	OTOF	Gene-Term
1717	CLRN1	Gene-Term
1718	UBA52	Gene-Term
1718	CDC20	Gene-Term
1718	RNF19A	Gene-Term
1718	PJA2	Gene-Term
1718	NEDD4	Gene-Term
1718	TRIM9	Gene-Term
1718	FBXO2	Gene-Term
1718	FBXL20	Gene-Term
1718	ZNRF1	Gene-Term
1718	ZNRF2	Gene-Term
1719	RPS23	Gene-Term
1719	RPL30	Gene-Term
1719	RPL8	Gene-Term
1719	RPL23	Gene-Term
1719	RPS9	Gene-Term
1719	RPL6	Gene-Term
1719	RPL14	Gene-Term
1719	RPS20	Gene-Term
1719	RPL24	Gene-Term
1719	RPL3L	Gene-Term
1720	TNC	Gene-Term
1720	APP	Gene-Term
1720	CDH2	Gene-Term
1720	PENK	Gene-Term
1720	ADAM10	Gene-Term
1720	FGA	Gene-Term
1720	WFS1	Gene-Term
1720	APOE	Gene-Term
1720	C4A	Gene-Term
1720	SPARCL1	Gene-Term
1721	ACTN1	Gene-Term
1721	VTI1B	Gene-Term
1721	APP	Gene-Term
1721	ACTN2	Gene-Term
1721	IGF1	Gene-Term
1721	FGB	Gene-Term
1721	FGA	Gene-Term
1721	SPARC	Gene-Term
1721	SRGN	Gene-Term
1721	CLU	Gene-Term
1722	HTR3A	Gene-Term
1722	SLC6A4	Gene-Term
1722	SNCA	Gene-Term
1722	HTR1B	Gene-Term
1722	GLRB	Gene-Term
1722	OPRD1	Gene-Term
1722	HTR2A	Gene-Term
1722	HTR2B	Gene-Term
1722	HTR3E	Gene-Term
1722	HTR3D	Gene-Term
1723	CDH1	Gene-Term
1723	CTNND1	Gene-Term
1723	CDH2	Gene-Term
1723	CTNNB1	Gene-Term
1723	CTNNA1	Gene-Term
1723	CDH15	Gene-Term
1723	CDH9	Gene-Term
1723	CDH8	Gene-Term
1723	CDH13	Gene-Term
1723	CDH11	Gene-Term
1724	NAPG	Gene-Term
1724	YKT6	Gene-Term
1724	NSF	Gene-Term
1724	NAPA	Gene-Term
1724	SEC22B	Gene-Term
1724	ANK2	Gene-Term
1724	SPTBN2	Gene-Term
1724	SPTBN1	Gene-Term
1724	TMED9	Gene-Term
1724	ANK1	Gene-Term
1724	ANK3	Gene-Term
1725	PRKACA	Gene-Term
1725	RAB11A	Gene-Term
1725	RAB8A	Gene-Term
1725	TUBA1A	Gene-Term
1725	AKAP9	Gene-Term
1725	YWHAG	Gene-Term
1725	PRKAR2B	Gene-Term
1725	NDE1	Gene-Term
1725	YWHAE	Gene-Term
1725	DCTN2	Gene-Term
1725	NPHP4	Gene-Term
1726	DRD5	Gene-Term
1726	GNG3	Gene-Term
1726	ADRB1	Gene-Term
1726	ADCY8	Gene-Term
1726	GNB5	Gene-Term
1726	ADCYAP1	Gene-Term
1726	ADCY1	Gene-Term
1726	GHRH	Gene-Term
1726	DRD1	Gene-Term
1726	CRHR2	Gene-Term
1726	CALCA	Gene-Term
1726	ADORA2B	Gene-Term
1727	CHRNB4	Gene-Term
