Parent	Child	EdgeType
1680	SNAP29	Gene-Term
1680	STX17	Gene-Term
1681	FGFR2	Gene-Term
1681	FGF1	Gene-Term
1682	TSC1	Gene-Term
1682	TBC1D7	Gene-Term
1683	MAPK1	Gene-Term
1683	RPS6KA1	Gene-Term
1684	CAMK2B	Gene-Term
1684	CAMK2D	Gene-Term
1685	RPS18	Gene-Term
1685	EIF1AX	Gene-Term
1686	VPS45	Gene-Term
1686	ZFYVE20	Gene-Term
1687	EGFR	Gene-Term
1687	EGF	Gene-Term
1688	SHARPIN	Gene-Term
1688	RNF31	Gene-Term
1689	DROSHA	Gene-Term
1689	DGCR8	Gene-Term
1690	VPS4B	Gene-Term
1690	CHMP2B	Gene-Term
1691	EIF3A	Gene-Term
1691	EIF3CL	Gene-Term
1692	ANK1	Gene-Term
1692	ITGAM	Gene-Term
1693	COPS4	Gene-Term
1693	COPS7B	Gene-Term
1694	STX6	Gene-Term
1694	VPS51	Gene-Term
1695	PTCH1	Gene-Term
1695	SHH	Gene-Term
1696	ACTB	Gene-Term
1696	CFL1	Gene-Term
1697	NRP1	Gene-Term
1697	SEMA3A	Gene-Term
1698	BRAF	Gene-Term
1698	MAP2K1	Gene-Term
1699	RELA	Gene-Term
1699	CREBBP	Gene-Term
1700	HMGCR	Gene-Term
1700	HMGCS1	Gene-Term
1701	CRHR2	Gene-Term
1701	CRH	Gene-Term
1702	PRKCI	Gene-Term
1702	PARD3	Gene-Term
1703	PLCG1	Gene-Term
1703	PDGFRB	Gene-Term
1704	ITGB1	Gene-Term
1704	ITGA5	Gene-Term
1705	YWHAZ	Gene-Term
1705	YWHAB	Gene-Term
1706	PSMA3	Gene-Term
1706	PSMB10	Gene-Term
1707	RPS3	Gene-Term
1707	LTV1	Gene-Term
1708	USP46	Gene-Term
1708	WDR48	Gene-Term
1709	AGER	Gene-Term
1709	S100B	Gene-Term
1710	SEPT6	Gene-Term
1710	SEPT2	Gene-Term
1711	ABI1	Gene-Term
1711	WASF2	Gene-Term
1712	DARS	Gene-Term
1712	EPRS	Gene-Term
1713	PPP2CA	Gene-Term
1713	PPP2R2A	Gene-Term
1713	PPP2R1A	Gene-Term
1714	ARPC2	Gene-Term
1714	ACTR2	Gene-Term
1714	ARPC5	Gene-Term
1715	CDC20	Gene-Term
1715	TRIP13	Gene-Term
1715	MAD2L1	Gene-Term
1716	GNB5	Gene-Term
1716	RGS7	Gene-Term
1716	CCT5	Gene-Term
1717	C11orf85	Gene-Term
1717	CCDC79	Gene-Term
1717	C15orf43	Gene-Term
1718	PABPC1	Gene-Term
1718	GSPT1	Gene-Term
1718	GSPT2	Gene-Term
1719	GSK3B	Gene-Term
1719	CTNNB1	Gene-Term
1719	AXIN1	Gene-Term
1720	EFNB2	Gene-Term
1720	EPHB4	Gene-Term
1720	EPHA5	Gene-Term
1721	HRAS	Gene-Term
1721	RAF1	Gene-Term
1721	PIK3CA	Gene-Term
1722	AKT1	Gene-Term
1722	NOS3	Gene-Term
1722	FOXO3	Gene-Term
1723	PABPC1	Gene-Term
1723	EIF4E	Gene-Term
1723	EIF4G1	Gene-Term
1724	NCK2	Gene-Term
1724	ILK	Gene-Term
1724	LIMS1	Gene-Term
1725	ITGB3	Gene-Term
1725	ITGAV	Gene-Term
1725	ITGA2B	Gene-Term
1726	FGB	Gene-Term
1726	FGA	Gene-Term
1726	FGG	Gene-Term
1727	AP2B1	Gene-Term
1727	AP2S1	Gene-Term
1727	AP2M1	Gene-Term
1728	EGFR	Gene-Term
1728	SOS1	Gene-Term
1728	GRB2	Gene-Term
1729	GSG1L	Gene-Term
1729	VWC2	Gene-Term
1729	NRN1	Gene-Term
1730	RPL23	Gene-Term
1730	RPS14	Gene-Term
1730	SEC61A1	Gene-Term
1731	VAMP4	Gene-Term
1731	STX6	Gene-Term
1731	VTI1A	Gene-Term
1732	ACTN1	Gene-Term
1732	VCL	Gene-Term
1732	ACTN4	Gene-Term
1733	PSMA3	Gene-Term
1733	PSMA7	Gene-Term
1733	PSMB9	Gene-Term
1734	RAB5A	Gene-Term
1734	RABEP1	Gene-Term
1734	RABGEF1	Gene-Term
1735	EFNA5	Gene-Term
1735	EPHA3	Gene-Term
1735	EPHA2	Gene-Term
1736	ALCAM	Gene-Term
1736	GRASP	Gene-Term
1736	CNTN6	Gene-Term
1736	CD6	Gene-Term
1737	NCSTN	Gene-Term
1737	PSENEN	Gene-Term
1737	APH1A	Gene-Term
1737	CNTN6	Gene-Term
1738	CDH1	Gene-Term
1738	CTNND1	Gene-Term
1738	CTNNB1	Gene-Term
1738	FER	Gene-Term
1739	SEC22B	Gene-Term
1739	GOSR2	Gene-Term
1739	SEPT11	Gene-Term
1739	SCFD1	Gene-Term
1740	NPHP4	Gene-Term
1740	KLHL17	Gene-Term
1740	NPHP1	Gene-Term
1740	RPGRIP1L	Gene-Term
1741	RAB3A	Gene-Term
1741	RAB3GAP1	Gene-Term
1741	DMXL2	Gene-Term
1741	RAB3GAP2	Gene-Term
1742	AP1S1	Gene-Term
1742	AP1B1	Gene-Term
1742	AP1M1	Gene-Term
1742	AP1G1	Gene-Term
1743	USP14	Gene-Term
1743	UBA52	Gene-Term
1743	VCP	Gene-Term
1743	PLAA	Gene-Term
1744	ENAH	Gene-Term
1744	VASP	Gene-Term
1744	CAMK2N1	Gene-Term
1744	EVL	Gene-Term
1745	CYFIP1	Gene-Term
1745	ABI2	Gene-Term
1745	WASF1	Gene-Term
1745	BRK1	Gene-Term
1746	EIF4E	Gene-Term
1746	EIF4A1	Gene-Term
1746	EIF4A2	Gene-Term
1746	EIF4G3	Gene-Term
1747	RHEB	Gene-Term
1747	EIF4EBP1	Gene-Term
1747	MTOR	Gene-Term
1747	RPTOR	Gene-Term
1748	RPS9	Gene-Term
1748	EIF3A	Gene-Term
1748	EIF3B	Gene-Term
1748	EIF3M	Gene-Term
1749	RPS3	Gene-Term
1749	EIF3A	Gene-Term
1749	EIF3B	Gene-Term
1749	EIF3G	Gene-Term
1750	LRRC7	Gene-Term
1750	CYFIP1	Gene-Term
1750	RAB27A	Gene-Term
1750	CHI3L1	Gene-Term
1751	C1QB	Gene-Term
1751	C1QC	Gene-Term
1751	C4A	Gene-Term
1751	C4B	Gene-Term
1752	SMC1B	Gene-Term
1752	RAD21	Gene-Term
1752	SMC3	Gene-Term
1752	STAG1	Gene-Term
1753	STX2	Gene-Term
1753	SNAP23	Gene-Term
1753	SNAP29	Gene-Term
1753	VAMP8	Gene-Term
1754	DOC2A	Gene-Term
1754	PRRT2	Gene-Term
1754	CORO1A	Gene-Term
1754	KCTD13	Gene-Term
1755	RAB11A	Gene-Term
1755	MYO5B	Gene-Term
1755	RAB11FIP3	Gene-Term
1755	RAB11FIP2	Gene-Term
1756	CYFIP1	Gene-Term
1756	CYFIP2	Gene-Term
1756	WASF1	Gene-Term
1756	NCKAP1	Gene-Term
1757	PABPC1	Gene-Term
1757	EIF4A3	Gene-Term
1757	SMG1	Gene-Term
1757	RBM8A	Gene-Term
1758	ILK	Gene-Term
1758	LIMS2	Gene-Term
1758	PARVA	Gene-Term
1758	PARVB	Gene-Term
1759	USH2A	Gene-Term
1759	CLRN1	Gene-Term
1759	TULP1	Gene-Term
1759	CNGB1	Gene-Term
1759	PRPH2	Gene-Term
1760	ATP2B2	Gene-Term
1760	UBA52	Gene-Term
1760	PDZD11	Gene-Term
1760	HNRNPH2	Gene-Term
1760	PLEKHA5	Gene-Term
1761	DMTN	Gene-Term
1761	MARCKS	Gene-Term
1761	ADD2	Gene-Term
1761	ADD3	Gene-Term
1761	ADD1	Gene-Term
1762	CAD	Gene-Term
1762	GAD1	Gene-Term
1762	GAD2	Gene-Term
1762	GLUL	Gene-Term
1762	GOT1	Gene-Term
1763	ABCC8	Gene-Term
1763	ABHD6	Gene-Term
1763	EIF2B3	Gene-Term
1763	PALMD	Gene-Term
1763	FBXL20	Gene-Term
1764	GRASP	Gene-Term
1764	GRID2IP	Gene-Term
1764	CBLN2	Gene-Term
1764	CABP1	Gene-Term
1764	BMPR2	Gene-Term
1765	SLC1A1	Gene-Term
1765	RAB3GAP1	Gene-Term
1765	MPDZ	Gene-Term
1765	KCTD12	Gene-Term
