Parent	Child	EdgeType
1283	FCGR2B	Gene-Term
1283	GSK3A	Gene-Term
1284	EIF4A3	Gene-Term
1284	DES	Gene-Term
1285	PDE4B	Gene-Term
1285	CPEB4	Gene-Term
1286	CNKSR2	Gene-Term
1286	ARHGAP39	Gene-Term
1287	GNRH1	Gene-Term
1287	NSMF	Gene-Term
1288	SHISA6	Gene-Term
1288	PRRT1	Gene-Term
1289	BCR	Gene-Term
1289	SH2D5	Gene-Term
1290	COL4A5	Gene-Term
1290	ITGB1	Gene-Term
1290	COL13A1	Gene-Term
1291	HPCA	Gene-Term
1291	PRRT2	Gene-Term
1291	SYNDIG1L	Gene-Term
1292	BSN	Gene-Term
1292	SYP	Gene-Term
1292	TPRG1L	Gene-Term
1293	GRASP	Gene-Term
1293	DLGAP3	Gene-Term
1293	RGS12	Gene-Term
1294	MYO5A	Gene-Term
1294	ADD2	Gene-Term
1294	ADD3	Gene-Term
1295	CBLN4	Gene-Term
1295	KCNQ3	Gene-Term
1295	NDRG1	Gene-Term
1296	SEMA4C	Gene-Term
1296	CHST10	Gene-Term
1296	UNC5C	Gene-Term
1297	VCP	Gene-Term
1297	MAP1LC3A	Gene-Term
1297	CHMP2B	Gene-Term
1298	LAMP1	Gene-Term
1298	FCGR2B	Gene-Term
1298	GZMA	Gene-Term
1299	MEF2C	Gene-Term
1299	HDAC4	Gene-Term
1299	CAMK4	Gene-Term
1300	DRD3	Gene-Term
1300	USP48	Gene-Term
1300	PALMD	Gene-Term
1301	LRRC7	Gene-Term
1301	PDE2A	Gene-Term
1301	TOR1A	Gene-Term
1302	ACHE	Gene-Term
1302	PRIMA1	Gene-Term
1302	COLQ	Gene-Term
1303	SIGMAR1	Gene-Term
1303	KCNC3	Gene-Term
1303	PI4K2A	Gene-Term
1304	CADM3	Gene-Term
1304	CADM1	Gene-Term
1304	PVRL3	Gene-Term
1305	KCTD13	Gene-Term
1305	MYCBP2	Gene-Term
1305	KCTD12	Gene-Term
1306	SLC1A7	Gene-Term
