Parent	Child	EdgeType
1680	EIF3A	Gene-Term
1680	EIF3CL	Gene-Term
1681	DROSHA	Gene-Term
1681	DGCR8	Gene-Term
1682	DARS	Gene-Term
1682	EPRS	Gene-Term
1683	COPS4	Gene-Term
1683	COPS7B	Gene-Term
1684	EGFR	Gene-Term
1684	EGF	Gene-Term
1685	RPS18	Gene-Term
1685	EIF1AX	Gene-Term
1686	SEPT6	Gene-Term
1686	SEPT2	Gene-Term
1687	ACTB	Gene-Term
1687	CFL1	Gene-Term
1688	EGLN1	Gene-Term
1688	HIF1A	Gene-Term
1689	RELA	Gene-Term
1689	CREBBP	Gene-Term
1690	YWHAZ	Gene-Term
1690	YWHAB	Gene-Term
1691	ABI1	Gene-Term
1691	WASF2	Gene-Term
1692	PTCH1	Gene-Term
1692	SHH	Gene-Term
1693	ARF1	Gene-Term
1693	CYTH2	Gene-Term
1694	FGFR2	Gene-Term
1694	FGF1	Gene-Term
1695	CAMK2B	Gene-Term
1695	CAMK2D	Gene-Term
1696	FGA	Gene-Term
1696	F2	Gene-Term
1697	USP46	Gene-Term
1697	WDR48	Gene-Term
1698	MAPK1	Gene-Term
1698	RPS6KA1	Gene-Term
1699	RPS3	Gene-Term
1699	LTV1	Gene-Term
1700	CRHR2	Gene-Term
1700	CRH	Gene-Term
1701	ANK1	Gene-Term
1701	ITGAM	Gene-Term
1702	HMGCR	Gene-Term
1702	HMGCS1	Gene-Term
1703	PSMA3	Gene-Term
1703	PSMB10	Gene-Term
1704	BRAF	Gene-Term
1704	MAP2K1	Gene-Term
1705	AGER	Gene-Term
1705	S100B	Gene-Term
1706	NRP1	Gene-Term
1706	SEMA3A	Gene-Term
1707	TSC1	Gene-Term
1707	TBC1D7	Gene-Term
1708	SNAP29	Gene-Term
1708	STX17	Gene-Term
1709	PRKCI	Gene-Term
1709	PARD3	Gene-Term
1710	MINK1	Gene-Term
1710	CHRNE	Gene-Term
1711	VPS45	Gene-Term
1711	ZFYVE20	Gene-Term
1712	PLCG1	Gene-Term
1712	PDGFRB	Gene-Term
1713	STX6	Gene-Term
1713	VPS51	Gene-Term
1714	VPS4B	Gene-Term
1714	CHMP2B	Gene-Term
1715	ITGB1	Gene-Term
1715	ITGA5	Gene-Term
1716	C1QB	Gene-Term
1716	C1QA	Gene-Term
1717	SHARPIN	Gene-Term
1717	RNF31	Gene-Term
1718	COPS5	Gene-Term
1718	SUMO1	Gene-Term
1718	PGRMC1	Gene-Term
1719	VAMP4	Gene-Term
1719	STX6	Gene-Term
1719	VTI1A	Gene-Term
1720	EFNB2	Gene-Term
1720	EPHB4	Gene-Term
1720	EPHA5	Gene-Term
1721	CYFIP1	Gene-Term
1721	CYFIP2	Gene-Term
1721	NCKAP1L	Gene-Term
1722	CRHR2	Gene-Term
1722	UCN	Gene-Term
1722	CRHBP	Gene-Term
1723	PTK2B	Gene-Term
1723	PTK2	Gene-Term
1723	PXN	Gene-Term
1724	MAPK8IP2	Gene-Term
1724	MAPK8IP1	Gene-Term
1724	PTPRN	Gene-Term
1725	GSK3B	Gene-Term
1725	CTNNB1	Gene-Term
1725	AXIN1	Gene-Term
1726	PABPC1	Gene-Term
1726	EIF4E	Gene-Term
1726	EIF4G1	Gene-Term
1727	FGB	Gene-Term
1727	FGA	Gene-Term
1727	FGG	Gene-Term
1728	ARPC2	Gene-Term
1728	ACTR2	Gene-Term
1728	ARPC5	Gene-Term
1729	EGFR	Gene-Term
1729	SOS1	Gene-Term
1729	GRB2	Gene-Term
1730	ATP6V1B1	Gene-Term
1730	DMXL2	Gene-Term
1730	ATP6V0D1	Gene-Term
1731	PPP2CA	Gene-Term
1731	PPP2R2A	Gene-Term
1731	PPP2R1A	Gene-Term
1732	GNB5	Gene-Term
1732	RGS7	Gene-Term
1732	CCT5	Gene-Term
1733	RPL23	Gene-Term
1733	RPS14	Gene-Term
1733	SEC61A1	Gene-Term
1734	YKT6	Gene-Term
1734	SEC22B	Gene-Term
1734	STX5	Gene-Term
1735	KCNJ2	Gene-Term
1735	IGF2BP1	Gene-Term
1735	IGF2BP3	Gene-Term
1736	MT3	Gene-Term
1736	SLC30A1	Gene-Term
1736	SLC30A3	Gene-Term
1737	MYCBP2	Gene-Term
1737	NMNAT2	Gene-Term
1737	FBXO45	Gene-Term
1738	VWC2	Gene-Term
1738	EIF3A	Gene-Term
1738	CCDC36	Gene-Term
1739	APLP1	Gene-Term
1739	LRFN3	Gene-Term
1739	PRODH2	Gene-Term
1740	IL1RAPL2	Gene-Term
1740	PTPRD	Gene-Term
1740	SLITRK4	Gene-Term
1741	RAB5A	Gene-Term
1741	RABEP1	Gene-Term
1741	RABGEF1	Gene-Term
1742	MAPK1	Gene-Term
1742	ELK1	Gene-Term
1742	PRRT2	Gene-Term
1743	AP2B1	Gene-Term
1743	AP2S1	Gene-Term
1743	AP2M1	Gene-Term
1744	HRAS	Gene-Term
1744	RAF1	Gene-Term
1744	PIK3CA	Gene-Term
1745	LAMP5	Gene-Term
1745	PLEKHA5	Gene-Term
1745	CBLN2	Gene-Term
1746	GPM6A	Gene-Term
1746	NEUROD2	Gene-Term
1746	CLCN3	Gene-Term
1747	LRFN3	Gene-Term
1747	FLOT1	Gene-Term
1747	FLOT2	Gene-Term
1748	ACTN1	Gene-Term
1748	VCL	Gene-Term
1748	ACTN4	Gene-Term
1749	ITGB3	Gene-Term
1749	ITGAV	Gene-Term
1749	ITGA2B	Gene-Term
1750	PPP2CA	Gene-Term
1750	GSK3B	Gene-Term
1750	AKT3	Gene-Term
1751	C11orf85	Gene-Term
1751	CCDC79	Gene-Term
1751	C15orf43	Gene-Term
1752	SEC22B	Gene-Term
1752	GOSR2	Gene-Term
1752	SCFD1	Gene-Term
1753	PABPC1	Gene-Term
1753	GSPT1	Gene-Term
1753	GSPT2	Gene-Term
1754	ENAH	Gene-Term
1754	VASP	Gene-Term
1754	EVL	Gene-Term
1755	NCK2	Gene-Term
1755	ILK	Gene-Term
1755	LIMS1	Gene-Term
1756	CDC20	Gene-Term
1756	TRIP13	Gene-Term
1756	MAD2L1	Gene-Term
1757	COL4A5	Gene-Term
1757	ITGB1	Gene-Term
1757	COL13A1	Gene-Term
1758	EFNA5	Gene-Term
1758	EPHA3	Gene-Term
1758	EPHA2	Gene-Term
1759	PLAT	Gene-Term
1759	SERPINI1	Gene-Term
1759	SERPINE1	Gene-Term
1760	PSMA3	Gene-Term
1760	PSMA7	Gene-Term
1760	PSMB9	Gene-Term
1761	GSG1L	Gene-Term
1761	VWC2	Gene-Term
1761	NRN1	Gene-Term
1762	PPP1CA	Gene-Term
1762	RGMA	Gene-Term
1762	BMPR2	Gene-Term
1763	PPP3CC	Gene-Term
1763	PPP3CA	Gene-Term
1763	PPP3R1	Gene-Term
1764	AKT1	Gene-Term
1764	NOS3	Gene-Term
1764	FOXO3	Gene-Term
1765	PPP2CA	Gene-Term
1765	STRN4	Gene-Term
1765	DYNLL2	Gene-Term
1766	UBA52	Gene-Term
1766	MIB1	Gene-Term
1766	NEURL1	Gene-Term
1767	FLNA	Gene-Term
1767	PHLDB2	Gene-Term
1767	TMLHE	Gene-Term
1767	FBLIM1	Gene-Term
1768	HDAC4	Gene-Term
1768	SUMO1	Gene-Term
1768	HTT	Gene-Term
1768	CTBP1	Gene-Term
1769	NPHP4	Gene-Term
1769	KLHL17	Gene-Term
1769	NPHP1	Gene-Term
1769	RPGRIP1L	Gene-Term
1770	JAK2	Gene-Term
1770	STAT5B	Gene-Term
1770	STAT5A	Gene-Term
1770	IL31RA	Gene-Term
1771	C1QB	Gene-Term
1771	C1QC	Gene-Term
1771	C4A	Gene-Term
1771	C4B	Gene-Term
1772	ILK	Gene-Term
1772	LIMS2	Gene-Term
1772	PARVA	Gene-Term
1772	PARVB	Gene-Term
1773	EIF4E	Gene-Term
1773	EIF4A1	Gene-Term
1773	EIF4A2	Gene-Term
1773	EIF4G3	Gene-Term
1774	SLITRK2	Gene-Term
1774	SLITRK1	Gene-Term
1774	PTPRA	Gene-Term
1774	LZTS3	Gene-Term
1775	MYO7A	Gene-Term
1775	RAD51B	Gene-Term
1775	NDEL1	Gene-Term
1775	FCHSD2	Gene-Term
1776	CD47	Gene-Term
1776	CD3E	Gene-Term
1776	SEZ6	Gene-Term
1776	CD6	Gene-Term
1777	SMC1B	Gene-Term
1777	RAD21	Gene-Term
1777	SMC3	Gene-Term
1777	STAG1	Gene-Term
1778	PICK1	Gene-Term
1778	SGTA	Gene-Term
1778	TMUB1	Gene-Term
1778	NSG1	Gene-Term
1779	RAB3A	Gene-Term
1779	RAB3GAP1	Gene-Term
1779	DMXL2	Gene-Term
1779	RAB3GAP2	Gene-Term
1780	RAB11A	Gene-Term
1780	MYO5B	Gene-Term
1780	RAB11FIP3	Gene-Term
1780	RAB11FIP2	Gene-Term
1781	USP14	Gene-Term
1781	UBA52	Gene-Term
1781	VCP	Gene-Term
1781	PLAA	Gene-Term
1782	ALCAM	Gene-Term
1782	GRASP	Gene-Term
1782	CNTN6	Gene-Term
1782	CD6	Gene-Term
1783	RAB6B	Gene-Term
1783	KIF1A	Gene-Term
1783	BCAN	Gene-Term
1783	IGSF21	Gene-Term
1784	DOC2A	Gene-Term
