Parent	Child	EdgeType
1680	TNR	Gene-Term
1680	MCTP1	Gene-Term
1681	PRKACA	Gene-Term
1681	KCNK2	Gene-Term
1682	ARHGAP44	Gene-Term
1682	SNX14	Gene-Term
1683	SIPA1L1	Gene-Term
1683	LZTS3	Gene-Term
1684	SYNPR	Gene-Term
1684	SYNGR1	Gene-Term
1685	NEFL	Gene-Term
1685	MTMR2	Gene-Term
1686	CBLN3	Gene-Term
1686	SYCE1L	Gene-Term
1687	PRPH	Gene-Term
1687	C1QL4	Gene-Term
1688	SEPT8	Gene-Term
1688	ZMYND19	Gene-Term
1689	PORCN	Gene-Term
1689	RUSC1	Gene-Term
1690	C1QL1	Gene-Term
1690	BAI3	Gene-Term
1691	GABRE	Gene-Term
1691	NR1D1	Gene-Term
1692	KCNJ4	Gene-Term
1692	BAALC	Gene-Term
1693	COPS5	Gene-Term
1693	USP50	Gene-Term
1694	FUS	Gene-Term
1694	CHRFAM7A	Gene-Term
1695	FLNA	Gene-Term
1695	TMLHE	Gene-Term
1696	MYCBP2	Gene-Term
1696	FBXO45	Gene-Term
1697	UBA52	Gene-Term
1697	USP48	Gene-Term
1698	TRIP4	Gene-Term
1698	ASCC1	Gene-Term
1699	SORCS3	Gene-Term
1699	VPS35	Gene-Term
1700	ITSN1	Gene-Term
1700	FCHSD2	Gene-Term
1701	ALCAM	Gene-Term
1701	CD6	Gene-Term
1702	TEX11	Gene-Term
1702	SYCP2	Gene-Term
1703	SLC6A2	Gene-Term
1703	SLC22A2	Gene-Term
1704	SLC18A1	Gene-Term
1704	SLC16A1	Gene-Term
1705	BCR	Gene-Term
1705	SH2D5	Gene-Term
1706	JAK2	Gene-Term
1706	IL31RA	Gene-Term
1707	PIN1	Gene-Term
1707	SYAP1	Gene-Term
1708	SNTA1	Gene-Term
1708	MAGEE1	Gene-Term
1709	STX1A	Gene-Term
1709	SNPH	Gene-Term
1710	INA	Gene-Term
1710	TANC1	Gene-Term
1711	SYNJ2	Gene-Term
1711	SYNJ2BP	Gene-Term
1712	PRNP	Gene-Term
1712	CRYAB	Gene-Term
1713	DAGLA	Gene-Term
1713	DAGLB	Gene-Term
1714	DBN1	Gene-Term
1714	ZMYND8	Gene-Term
1715	PPP1CA	Gene-Term
1715	PPP1R9A	Gene-Term
1716	SHISA6	Gene-Term
1716	PRRT1	Gene-Term
1717	MICAL1	Gene-Term
1717	RAB10	Gene-Term
1718	GRID2	Gene-Term
1718	CBLN3	Gene-Term
1719	NDFIP1	Gene-Term
1719	NEDD4	Gene-Term
