Parent	Child	EdgeType
1680	C11orf85	Gene-Term
1680	CCDC79	Gene-Term
1680	C15orf43	Gene-Term
1681	CYFIP1	Gene-Term
1681	ABI2	Gene-Term
1681	WASF1	Gene-Term
1681	BRK1	Gene-Term
1682	LRRC7	Gene-Term
1682	CYFIP1	Gene-Term
1682	RAB27A	Gene-Term
1682	CHI3L1	Gene-Term
1683	STX2	Gene-Term
1683	SNAP23	Gene-Term
1683	SNAP29	Gene-Term
1683	VAMP8	Gene-Term
1684	CYFIP1	Gene-Term
1684	CYFIP2	Gene-Term
1684	WASF1	Gene-Term
1684	NCKAP1	Gene-Term
1685	RHEB	Gene-Term
1685	EIF4EBP1	Gene-Term
1685	MTOR	Gene-Term
1685	RPTOR	Gene-Term
1686	USP14	Gene-Term
1686	UBA52	Gene-Term
1686	VCP	Gene-Term
1686	PLAA	Gene-Term
1687	RPS3	Gene-Term
1687	EIF3A	Gene-Term
1687	EIF3B	Gene-Term
1687	EIF3G	Gene-Term
1688	CDH1	Gene-Term
1688	CTNND1	Gene-Term
1688	CTNNB1	Gene-Term
1688	FER	Gene-Term
1689	DMTN	Gene-Term
1689	ADD2	Gene-Term
1689	ADD3	Gene-Term
1689	ADD1	Gene-Term
1690	RPS9	Gene-Term
1690	EIF3A	Gene-Term
1690	EIF3B	Gene-Term
1690	EIF3M	Gene-Term
1691	RPS3	Gene-Term
1691	EIF3A	Gene-Term
1691	EIF3B	Gene-Term
1691	RPS20	Gene-Term
1691	EIF3I	Gene-Term
1692	USH2A	Gene-Term
1692	CLRN1	Gene-Term
1692	TULP1	Gene-Term
1692	CNGB1	Gene-Term
1692	PRPH2	Gene-Term
1693	CNR1	Gene-Term
1693	ABHD6	Gene-Term
1693	DAGLA	Gene-Term
1693	DAGLB	Gene-Term
1693	NAAA	Gene-Term
1694	RPL30	Gene-Term
1694	RPL10A	Gene-Term
1694	RPS27	Gene-Term
1694	RPS17	Gene-Term
1694	RPL36AL	Gene-Term
1695	DGKI	Gene-Term
1695	DGKQ	Gene-Term
1695	DGKZ	Gene-Term
1695	DGKB	Gene-Term
1695	DGKE	Gene-Term
1695	CEL	Gene-Term
1696	VCP	Gene-Term
1696	SIGMAR1	Gene-Term
1696	SPG11	Gene-Term
1696	FUS	Gene-Term
1696	CHMP2B	Gene-Term
1696	ALS2	Gene-Term
1697	EIF2S1	Gene-Term
1697	EIF2B1	Gene-Term
1697	EIF2B2	Gene-Term
1697	EIF2B5	Gene-Term
1697	EIF2B3	Gene-Term
1697	EIF2B4	Gene-Term
1698	AP2B1	Gene-Term
1698	CLTA	Gene-Term
1698	WNT5A	Gene-Term
1698	CLTB	Gene-Term
1698	FZD5	Gene-Term
1698	ROR1	Gene-Term
1699	RPS3	Gene-Term
1699	RPS18	Gene-Term
1699	RPS9	Gene-Term
1699	EIF3A	Gene-Term
1699	EIF3B	Gene-Term
1699	EIF3E	Gene-Term
1700	PSMC5	Gene-Term
1700	PSMC2	Gene-Term
1700	PSMC4	Gene-Term
1700	PSMA8	Gene-Term
1700	PSMD10	Gene-Term
1700	ADRM1	Gene-Term
1701	RHOA	Gene-Term
1701	DLG4	Gene-Term
1701	RASGRF2	Gene-Term
1701	CDC42	Gene-Term
1701	RAC1	Gene-Term
1701	FYN	Gene-Term
1701	ARHGAP33	Gene-Term
1702	SEPT5	Gene-Term
1702	SEPT8	Gene-Term
1702	SEPT6	Gene-Term
1702	SEPT3	Gene-Term
1702	SEPT4	Gene-Term
1702	SEPT11	Gene-Term
1702	SEPT1	Gene-Term
1703	PSEN1	Gene-Term
1703	NCSTN	Gene-Term
1703	PSENEN	Gene-Term
1703	APH1A	Gene-Term
1703	PSEN2	Gene-Term
1703	CNTN1	Gene-Term
1703	APH1B	Gene-Term
1704	THY1	Gene-Term
1704	NTNG1	Gene-Term
1704	NTNG2	Gene-Term
1704	CNTN4	Gene-Term
1704	CNTN5	Gene-Term
1704	MDGA1	Gene-Term
1704	NRN1	Gene-Term
1705	ACTR2	Gene-Term
1705	VCP	Gene-Term
1705	UNC13D	Gene-Term
1705	VAT1	Gene-Term
1705	GDI2	Gene-Term
1705	MAPK1	Gene-Term
1705	FABP5	Gene-Term
1706	PPP2CA	Gene-Term
1706	PPP1CC	Gene-Term
1706	CDC42	Gene-Term
1706	CDC20	Gene-Term
1706	RPS27	Gene-Term
1706	NDE1	Gene-Term
1706	DYNLL2	Gene-Term
1706	NDEL1	Gene-Term
1707	HSPA8	Gene-Term
1707	HNRNPD	Gene-Term
1707	HNRNPA3	Gene-Term
1707	HNRNPR	Gene-Term
1707	ELAVL1	Gene-Term
1707	EIF4A3	Gene-Term
1707	FUS	Gene-Term
1707	HNRNPH2	Gene-Term
1708	GRIK2	Gene-Term
1708	DLG1	Gene-Term
1708	DLG4	Gene-Term
1708	GRIK4	Gene-Term
1708	GRIK5	Gene-Term
1708	DLG3	Gene-Term
1708	GRIK1	Gene-Term
1708	GRIK3	Gene-Term
1709	RAB3A	Gene-Term
1709	GDI2	Gene-Term
1709	RAB6B	Gene-Term
1709	RAB18	Gene-Term
1709	DCTN2	Gene-Term
1709	RAB3GAP1	Gene-Term
1709	RAB3GAP2	Gene-Term
1709	DYNLL2	Gene-Term
1710	SNAP29	Gene-Term
1710	RAB5C	Gene-Term
1710	LAMP1	Gene-Term
1710	PSEN1	Gene-Term
1710	DNAJC5	Gene-Term
1710	ARL8A	Gene-Term
1710	SYNGR1	Gene-Term
1710	NCSTN	Gene-Term
1711	CACNG3	Gene-Term
1711	ADAM23	Gene-Term
1711	DLG4	Gene-Term
1711	LGI1	Gene-Term
1711	ADAM22	Gene-Term
1711	CACNG2	Gene-Term
1711	CACNG4	Gene-Term
1711	CACNG8	Gene-Term
1712	ARPC2	Gene-Term
1712	ACTR2	Gene-Term
1712	ARPC3	Gene-Term
1712	ARPC5L	Gene-Term
1712	ARPC1A	Gene-Term
1712	ACTR3	Gene-Term
1712	ARPC4	Gene-Term
1712	ARPC1B	Gene-Term
1713	CACNA1C	Gene-Term
1713	GRIN1	Gene-Term
1713	DNM1	Gene-Term
1713	PSEN1	Gene-Term
1713	STAT3	Gene-Term
1713	MAPT	Gene-Term
1713	YWHAE	Gene-Term
1713	PSEN2	Gene-Term
1713	SRI	Gene-Term
1714	USH1C	Gene-Term
1714	ATP2B4	Gene-Term
1714	ATP2B2	Gene-Term
1714	CIB2	Gene-Term
1714	USH2A	Gene-Term
1714	MYO7A	Gene-Term
1714	PCDH15	Gene-Term
1714	OTOF	Gene-Term
1714	CLRN1	Gene-Term
1715	AGRN	Gene-Term
1715	LRP8	Gene-Term
1715	APOE	Gene-Term
1715	SPARCL1	Gene-Term
1715	BCAN	Gene-Term
1715	GPC6	Gene-Term
1715	GPC4	Gene-Term
1715	GPC1	Gene-Term
1715	CSPG5	Gene-Term
1716	TNC	Gene-Term
1716	APP	Gene-Term
1716	CDH2	Gene-Term
1716	PENK	Gene-Term
1716	ADAM10	Gene-Term
1716	FGA	Gene-Term
1716	WFS1	Gene-Term
1716	APOE	Gene-Term
1716	C4A	Gene-Term
1716	SPARCL1	Gene-Term
1717	UBA52	Gene-Term
1717	CDC20	Gene-Term
1717	RNF19A	Gene-Term
1717	PJA2	Gene-Term
1717	NEDD4	Gene-Term
1717	TRIM9	Gene-Term
1717	FBXO2	Gene-Term
1717	FBXL20	Gene-Term
1717	ZNRF1	Gene-Term
1717	ZNRF2	Gene-Term
1718	HTR3A	Gene-Term
1718	SLC6A4	Gene-Term
1718	SNCA	Gene-Term
1718	HTR1B	Gene-Term
1718	GLRB	Gene-Term
1718	OPRD1	Gene-Term
1718	HTR2A	Gene-Term
1718	HTR2B	Gene-Term
1718	HTR3E	Gene-Term
1718	HTR3D	Gene-Term
1719	RHOA	Gene-Term
1719	CDC42	Gene-Term
1719	RAC1	Gene-Term
1719	PLEKHG5	Gene-Term
1719	DOCK10	Gene-Term
1719	ARHGAP22	Gene-Term
1719	ARHGEF15	Gene-Term
1719	DNMBP	Gene-Term
1719	ABR	Gene-Term
1719	ARHGAP39	Gene-Term
1720	RPS23	Gene-Term
1720	RPL30	Gene-Term
1720	RPL8	Gene-Term
1720	RPL23	Gene-Term
1720	RPS9	Gene-Term
1720	RPL6	Gene-Term
1720	RPL14	Gene-Term
1720	RPS20	Gene-Term
1720	RPL24	Gene-Term
1720	RPL3L	Gene-Term
1721	CDH1	Gene-Term
1721	CTNND1	Gene-Term
1721	CDH2	Gene-Term
1721	CTNNB1	Gene-Term
1721	CTNNA1	Gene-Term
1721	CDH15	Gene-Term
1721	CDH9	Gene-Term
1721	CDH8	Gene-Term
1721	CDH13	Gene-Term
1721	CDH11	Gene-Term
1722	ACTN1	Gene-Term
1722	VTI1B	Gene-Term
1722	APP	Gene-Term
1722	ACTN2	Gene-Term
1722	IGF1	Gene-Term
1722	FGB	Gene-Term
1722	FGA	Gene-Term
1722	SPARC	Gene-Term
1722	SRGN	Gene-Term
1722	CLU	Gene-Term
1723	NAPG	Gene-Term
1723	YKT6	Gene-Term
1723	NSF	Gene-Term
1723	NAPA	Gene-Term
1723	SEC22B	Gene-Term
1723	ANK2	Gene-Term
1723	SPTBN2	Gene-Term
1723	SPTBN1	Gene-Term
1723	TMED9	Gene-Term
1723	ANK1	Gene-Term
1723	ANK3	Gene-Term
1724	PRKACA	Gene-Term
1724	RAB11A	Gene-Term
1724	RAB8A	Gene-Term
1724	TUBA1A	Gene-Term
1724	AKAP9	Gene-Term
1724	YWHAG	Gene-Term
1724	PRKAR2B	Gene-Term
1724	NDE1	Gene-Term
1724	YWHAE	Gene-Term
1724	DCTN2	Gene-Term
1724	NPHP4	Gene-Term
1725	CHRNB4	Gene-Term
1725	SCAMP1	Gene-Term
1725	SNAP25	Gene-Term
1725	SNAP23	Gene-Term
1725	ADAM10	Gene-Term
1725	DNAJC5	Gene-Term
1725	PLD1	Gene-Term
1725	RAP1A	Gene-Term
1725	PGRMC1	Gene-Term
1725	CD47	Gene-Term
1725	P2RX1	Gene-Term
1725	KCNAB2	Gene-Term
1726	ARFGAP1	Gene-Term
1726	ARF1	Gene-Term
1726	ARF4	Gene-Term
