Parent	Child	EdgeType
1680	GPM6A	Gene-Term
1680	CLCN3	Gene-Term
1681	SNTA1	Gene-Term
1681	MAGEE1	Gene-Term
1682	PRNP	Gene-Term
1682	CRYAB	Gene-Term
1683	LRRTM1	Gene-Term
1683	CLSTN3	Gene-Term
1684	CYP46A1	Gene-Term
1684	CEL	Gene-Term
1685	DBN1	Gene-Term
1685	ZMYND8	Gene-Term
1686	KCNJ4	Gene-Term
1686	BAALC	Gene-Term
1687	NRG3	Gene-Term
1687	CADPS2	Gene-Term
1688	MINK1	Gene-Term
1688	CHRNE	Gene-Term
1689	ITSN1	Gene-Term
1689	FCHSD1	Gene-Term
1690	SLC29A2	Gene-Term
1690	SLC9B2	Gene-Term
1691	PIN1	Gene-Term
1691	SYAP1	Gene-Term
1692	PRKACA	Gene-Term
1692	KCNK2	Gene-Term
1693	SYNPR	Gene-Term
1693	SVOP	Gene-Term
1694	GABRE	Gene-Term
1694	NR1D1	Gene-Term
1695	CEP112	Gene-Term
1695	FARP1	Gene-Term
1696	FLNA	Gene-Term
1696	TMLHE	Gene-Term
1697	CNGB1	Gene-Term
1697	PRPH2	Gene-Term
1698	C1QL1	Gene-Term
1698	BAI3	Gene-Term
1699	SLC9A6	Gene-Term
1699	SLC9B2	Gene-Term
1700	GABRE	Gene-Term
1700	PLCL1	Gene-Term
1701	NDFIP1	Gene-Term
1701	NEDD4	Gene-Term
1702	DTNA	Gene-Term
1702	DRP2	Gene-Term
1703	SIPA1L1	Gene-Term
1703	LZTS3	Gene-Term
1704	SYNPR	Gene-Term
1704	SYNGR1	Gene-Term
1705	SLC18A3	Gene-Term
1705	SLC5A7	Gene-Term
1706	GRM2	Gene-Term
1706	PCDH17	Gene-Term
1707	GNRH1	Gene-Term
1707	NSMF	Gene-Term
1708	PPT1	Gene-Term
1708	CLN3	Gene-Term
1709	FCGR2B	Gene-Term
1709	BCR	Gene-Term
1710	DTNA	Gene-Term
1710	SYNC	Gene-Term
1711	REC114	Gene-Term
1711	MEI4	Gene-Term
1712	TENM2	Gene-Term
1712	LPHN1	Gene-Term
1713	PLEKHG5	Gene-Term
1713	MPDZ	Gene-Term
1714	MICAL1	Gene-Term
1714	RAB10	Gene-Term
1715	USH1C	Gene-Term
1715	SLC4A7	Gene-Term
1716	PPP1CA	Gene-Term
1716	PPP1R9A	Gene-Term
1717	SYNJ2	Gene-Term
1717	SYNJ2BP	Gene-Term
1718	INA	Gene-Term
1718	TANC1	Gene-Term
1719	STX1A	Gene-Term
1719	SNPH	Gene-Term
1720	TNR	Gene-Term
1720	MCTP1	Gene-Term
1721	PRPH	Gene-Term
1721	C1QL4	Gene-Term
1722	DLG4	Gene-Term
1722	ANKS1B	Gene-Term
1723	SPG11	Gene-Term
1723	ALS2	Gene-Term
1724	GNG3	Gene-Term
1724	RGS10	Gene-Term
1725	CBLN3	Gene-Term
1725	SYCE1L	Gene-Term
1726	GABRG2	Gene-Term
1726	TTYH1	Gene-Term
1727	NLGN2	Gene-Term
1727	LHFPL4	Gene-Term
1728	XBP1	Gene-Term
1728	MANF	Gene-Term
1729	TMUB1	Gene-Term
1729	NSG1	Gene-Term
1730	SYPL1	Gene-Term
1730	SCAMP1	Gene-Term
1731	TOR1A	Gene-Term
1731	ATCAY	Gene-Term
1732	SLC16A3	Gene-Term
1732	EMB	Gene-Term
1733	SLC6A17	Gene-Term
1733	TEX15	Gene-Term
1734	PPP1R9B	Gene-Term
1734	SAMD14	Gene-Term
1735	GAK	Gene-Term
1735	DCLK1	Gene-Term
1736	KCNAB2	Gene-Term
1736	KCNA6	Gene-Term
1737	DNAJA3	Gene-Term
1737	POLG	Gene-Term
1738	FUS	Gene-Term
1738	CHRFAM7A	Gene-Term
1739	HPCA	Gene-Term
1739	SYNDIG1L	Gene-Term
1740	FAIM2	Gene-Term
1740	CADM2	Gene-Term
1741	RAB6B	Gene-Term
1741	IGSF21	Gene-Term
1742	SNAP25	Gene-Term
1742	ZDHHC3	Gene-Term
1743	UBA52	Gene-Term
1743	USP48	Gene-Term
1744	UTRN	Gene-Term
1744	CNN3	Gene-Term
1745	COPS5	Gene-Term
1745	USP50	Gene-Term
1746	ASCC1	Gene-Term
1746	KIAA1109	Gene-Term
1747	RAB27A	Gene-Term
1747	SYTL3	Gene-Term
1748	LRFN3	Gene-Term
1748	PRODH2	Gene-Term
1749	TBR1	Gene-Term
1749	TSPYL2	Gene-Term
1750	RGMA	Gene-Term
1750	MCTP2	Gene-Term
1751	CTNNB1	Gene-Term
1751	DACT1	Gene-Term
1752	SEPT8	Gene-Term
1752	ZMYND19	Gene-Term
