Parent	Child	EdgeType
1680	C11orf85	Gene-Term
1680	CCDC79	Gene-Term
1680	C15orf43	Gene-Term
1681	RPS9	Gene-Term
1681	EIF3A	Gene-Term
1681	EIF3B	Gene-Term
1681	EIF3M	Gene-Term
1682	ALCAM	Gene-Term
1682	GRASP	Gene-Term
1682	CNTN6	Gene-Term
1682	CD6	Gene-Term
1683	USP14	Gene-Term
1683	UBA52	Gene-Term
1683	VCP	Gene-Term
1683	PLAA	Gene-Term
1684	DOC2A	Gene-Term
1684	PRRT2	Gene-Term
1684	CORO1A	Gene-Term
1684	KCTD13	Gene-Term
1685	RAB3A	Gene-Term
1685	RAB3GAP1	Gene-Term
1685	DMXL2	Gene-Term
1685	RAB3GAP2	Gene-Term
1686	C1QB	Gene-Term
1686	C1QC	Gene-Term
1686	C4A	Gene-Term
1686	C4B	Gene-Term
1687	CYFIP1	Gene-Term
1687	CYFIP2	Gene-Term
1687	WASF1	Gene-Term
1687	NCKAP1	Gene-Term
1688	CYFIP1	Gene-Term
1688	ABI2	Gene-Term
1688	WASF1	Gene-Term
1688	BRK1	Gene-Term
1689	RHEB	Gene-Term
1689	EIF4EBP1	Gene-Term
1689	MTOR	Gene-Term
1689	RPTOR	Gene-Term
1690	CDH1	Gene-Term
1690	CTNND1	Gene-Term
1690	CTNNB1	Gene-Term
1690	FER	Gene-Term
1691	NCSTN	Gene-Term
1691	PSENEN	Gene-Term
1691	APH1A	Gene-Term
1691	CNTN6	Gene-Term
1692	RPS3	Gene-Term
1692	EIF3A	Gene-Term
1692	EIF3B	Gene-Term
1692	EIF3G	Gene-Term
1693	STX2	Gene-Term
1693	SNAP23	Gene-Term
1693	SNAP29	Gene-Term
1693	VAMP8	Gene-Term
1694	LRRC7	Gene-Term
1694	CYFIP1	Gene-Term
1694	RAB27A	Gene-Term
1694	CHI3L1	Gene-Term
1695	RPS3	Gene-Term
1695	EIF3A	Gene-Term
1695	EIF3B	Gene-Term
1695	RPS20	Gene-Term
1695	EIF3I	Gene-Term
1696	CAD	Gene-Term
1696	GAD1	Gene-Term
1696	GAD2	Gene-Term
1696	GLUL	Gene-Term
1696	GOT1	Gene-Term
1697	DVL1	Gene-Term
1697	WNT3A	Gene-Term
1697	LRP6	Gene-Term
1697	FZD5	Gene-Term
1697	PI4K2A	Gene-Term
1698	DMTN	Gene-Term
1698	MARCKS	Gene-Term
1698	ADD2	Gene-Term
1698	ADD3	Gene-Term
1698	ADD1	Gene-Term
1699	USH2A	Gene-Term
1699	CLRN1	Gene-Term
1699	TULP1	Gene-Term
1699	CNGB1	Gene-Term
1699	PRPH2	Gene-Term
1700	UBA52	Gene-Term
1700	WNT3A	Gene-Term
1700	LRP6	Gene-Term
1700	FZD5	Gene-Term
1700	USP8	Gene-Term
1701	ATP1A3	Gene-Term
1701	ATP1A1	Gene-Term
1701	ATP1A2	Gene-Term
1701	ATP6V0D1	Gene-Term
1701	FXYD6	Gene-Term
1702	PSEN1	Gene-Term
1702	NCSTN	Gene-Term
1702	PSENEN	Gene-Term
1702	PSEN2	Gene-Term
1702	APH1B	Gene-Term
1703	CNR1	Gene-Term
1703	ABHD6	Gene-Term
1703	DAGLA	Gene-Term
1703	DAGLB	Gene-Term
1703	NAAA	Gene-Term
1704	RPL30	Gene-Term
1704	RPL10A	Gene-Term
1704	RPS27	Gene-Term
1704	RPS17	Gene-Term
1704	RPL36AL	Gene-Term
1705	PPP3CC	Gene-Term
1705	CDC20	Gene-Term
1705	PPP3CB	Gene-Term
1705	MEF2C	Gene-Term
1705	PPP3CA	Gene-Term
1706	PSMC5	Gene-Term
1706	PSMC4	Gene-Term
1706	PSMA3	Gene-Term
1706	PSMA7	Gene-Term
1706	PSMB8	Gene-Term
1707	STRN	Gene-Term
1707	PPP2CA	Gene-Term
1707	CTTNBP2	Gene-Term
1707	STRN4	Gene-Term
1707	MOB4	Gene-Term
1708	PSEN1	Gene-Term
1708	NCSTN	Gene-Term
1708	PSENEN	Gene-Term
1708	APH1A	Gene-Term
1708	PSEN2	Gene-Term
1708	CNTN1	Gene-Term
1709	EIF2S1	Gene-Term
1709	EIF2B1	Gene-Term
1709	EIF2B2	Gene-Term
1709	EIF2B5	Gene-Term
1709	EIF2B3	Gene-Term
1709	EIF2B4	Gene-Term
1710	AGRN	Gene-Term
1710	LRP8	Gene-Term
1710	APOE	Gene-Term
1710	GPC6	Gene-Term
1710	GPC4	Gene-Term
1710	GPC1	Gene-Term
1711	RAB6B	Gene-Term
1711	RAB18	Gene-Term
1711	DCTN2	Gene-Term
1711	RAB3GAP1	Gene-Term
1711	RAB3GAP2	Gene-Term
1711	DYNLL2	Gene-Term
1712	AP2B1	Gene-Term
1712	CLTA	Gene-Term
1712	WNT5A	Gene-Term
1712	CLTB	Gene-Term
1712	FZD5	Gene-Term
1712	ROR1	Gene-Term
1713	USH1C	Gene-Term
1713	CIB2	Gene-Term
1713	USH2A	Gene-Term
1713	MYO7A	Gene-Term
1713	PCDH15	Gene-Term
1713	CLRN1	Gene-Term
1714	AGRN	Gene-Term
1714	BCAN	Gene-Term
1714	GPC6	Gene-Term
1714	GPC4	Gene-Term
1714	GPC1	Gene-Term
1714	CSPG5	Gene-Term
1715	PSMC5	Gene-Term
1715	PSMC2	Gene-Term
1715	PSMC4	Gene-Term
1715	PSMA8	Gene-Term
1715	PSMD10	Gene-Term
1715	ADRM1	Gene-Term
1716	LIN7A	Gene-Term
1716	DVL1	Gene-Term
1716	LIN7B	Gene-Term
1716	LIN7C	Gene-Term
1716	MPP2	Gene-Term
1716	DLG5	Gene-Term
1717	VCP	Gene-Term
1717	SIGMAR1	Gene-Term
1717	SPG11	Gene-Term
1717	FUS	Gene-Term
1717	CHMP2B	Gene-Term
1717	ALS2	Gene-Term
1718	RPS3	Gene-Term
1718	RPS18	Gene-Term
1718	RPS9	Gene-Term
1718	EIF3A	Gene-Term
1718	EIF3B	Gene-Term
1718	EIF3E	Gene-Term
1719	RHOA	Gene-Term
1719	CDC42	Gene-Term
1719	RAC1	Gene-Term
1719	ARHGAP44	Gene-Term
1719	ABR	Gene-Term
1719	ARHGAP39	Gene-Term
1720	GSK3B	Gene-Term
1720	DVL1	Gene-Term
1720	WNT3A	Gene-Term
1720	LRP6	Gene-Term
1720	CSNK1G1	Gene-Term
1720	CSNK1G2	Gene-Term
1721	NRP1	Gene-Term
1721	GSK3B	Gene-Term
1721	FYN	Gene-Term
1721	CDK5	Gene-Term
1721	DPYSL3	Gene-Term
1721	CDK5R1	Gene-Term
1722	RHOA	Gene-Term
1722	DLG4	Gene-Term
1722	CDC42	Gene-Term
1722	RAC1	Gene-Term
1722	FYN	Gene-Term
1722	ARHGAP33	Gene-Term
1723	RHOA	Gene-Term
1723	CDC42	Gene-Term
1723	RAC1	Gene-Term
1723	PLEKHG5	Gene-Term
1723	ARHGEF15	Gene-Term
1723	DNMBP	Gene-Term
1723	ARHGAP39	Gene-Term
1724	THY1	Gene-Term
1724	NTNG1	Gene-Term
1724	NTNG2	Gene-Term
1724	CNTN4	Gene-Term
1724	CNTN5	Gene-Term
1724	MDGA1	Gene-Term
1724	NRN1	Gene-Term
1725	GNG3	Gene-Term
1725	WNT5A	Gene-Term
1725	GNB5	Gene-Term
1725	PLCB1	Gene-Term
1725	PLCB3	Gene-Term
1725	FZD5	Gene-Term
1725	FZD3	Gene-Term
1726	ACTR2	Gene-Term
1726	VCP	Gene-Term
1726	UNC13D	Gene-Term
1726	VAT1	Gene-Term
1726	GDI2	Gene-Term
1726	MAPK1	Gene-Term
1726	FABP5	Gene-Term
1727	CDH1	Gene-Term
1727	STX4	Gene-Term
1727	CTNND1	Gene-Term
1727	EXOC4	Gene-Term
1727	CTNNB1	Gene-Term
1727	EXOC3	Gene-Term
1727	CTNNA1	Gene-Term
1728	SEPT5	Gene-Term
1728	SEPT8	Gene-Term
1728	SEPT6	Gene-Term
1728	SEPT3	Gene-Term
1728	SEPT4	Gene-Term
1728	SEPT11	Gene-Term
1728	SEPT1	Gene-Term
1729	CAMK2B	Gene-Term
1729	VAMP2	Gene-Term
1729	YKT6	Gene-Term
1729	NSF	Gene-Term
1729	ERC1	Gene-Term
1729	CDK5	Gene-Term
1729	ATP6V0D1	Gene-Term
1730	SNTB2	Gene-Term
1730	CAV3	Gene-Term
1730	DMD	Gene-Term
1730	SNTA1	Gene-Term
1730	SNTB1	Gene-Term
1730	UTRN	Gene-Term
1730	SSPN	Gene-Term
1731	NAPG	Gene-Term
1731	NSF	Gene-Term
1731	VAMP4	Gene-Term
1731	STX16	Gene-Term
1731	STX6	Gene-Term
1731	NAPA	Gene-Term
1731	RAB6B	Gene-Term
1732	GSK3B	Gene-Term
1732	DVL1	Gene-Term
1732	WNT3A	Gene-Term
1732	GSK3A	Gene-Term
1732	LRP6	Gene-Term
1732	FZD5	Gene-Term
1732	CSNK1G1	Gene-Term
1733	HSPA8	Gene-Term
1733	HNRNPD	Gene-Term
1733	HNRNPA3	Gene-Term
1733	HNRNPR	Gene-Term
1733	ELAVL1	Gene-Term
1733	EIF4A3	Gene-Term
1733	FUS	Gene-Term
1733	HNRNPH2	Gene-Term
1734	GABRG2	Gene-Term
1734	GABRG1	Gene-Term
1734	SNCB	Gene-Term
1734	DLGAP1	Gene-Term
1734	GABRB2	Gene-Term
1734	GABRA4	Gene-Term
1734	GABRB1	Gene-Term
1734	KCTD8	Gene-Term
1735	GRIK2	Gene-Term
1735	DLG1	Gene-Term
1735	DLG4	Gene-Term
1735	GRIK4	Gene-Term
1735	GRIK5	Gene-Term
1735	DLG3	Gene-Term
1735	GRIK1	Gene-Term
1735	GRIK3	Gene-Term
1736	RHOA	Gene-Term
1736	CDC42	Gene-Term
1736	ACTR2	Gene-Term
1736	PFN1	Gene-Term
1736	MYH10	Gene-Term
1736	GRID2IP	Gene-Term
1736	PFN2	Gene-Term
1736	SRGAP2	Gene-Term
1737	CACNA1D	Gene-Term
1737	CACNG3	Gene-Term
1737	STAC3	Gene-Term
1737	CACNG7	Gene-Term
1737	CACNG2	Gene-Term
1737	CACNA1C	Gene-Term
1737	PDE4B	Gene-Term
1737	CACNG8	Gene-Term
