Parent	Child	EdgeType
1283	NCK2	Gene-Term
1283	WBP2	Gene-Term
1283	PTPRA	Gene-Term
1284	SCAMP5	Gene-Term
1284	APBA2	Gene-Term
1284	CNTNAP1	Gene-Term
1285	MT3	Gene-Term
1285	SLC30A1	Gene-Term
1285	SLC30A3	Gene-Term
1286	C11orf85	Gene-Term
1286	CCDC79	Gene-Term
1286	C15orf43	Gene-Term
1287	ARHGEF7	Gene-Term
1287	PLCG1	Gene-Term
1287	CAMK4	Gene-Term
1288	PPP1CA	Gene-Term
1288	RGMA	Gene-Term
1288	BMPR2	Gene-Term
1289	PRKCZ	Gene-Term
1289	PRKCI	Gene-Term
1289	RELA	Gene-Term
1289	ERC1	Gene-Term
1290	C1QB	Gene-Term
1290	C1QC	Gene-Term
1290	C4A	Gene-Term
1290	C4B	Gene-Term
1291	LRRC7	Gene-Term
1291	CYFIP1	Gene-Term
1291	RAB27A	Gene-Term
1291	CHI3L1	Gene-Term
1292	PPP2CA	Gene-Term
1292	PPFIA1	Gene-Term
1292	PPFIA3	Gene-Term
1292	PPFIA2	Gene-Term
1293	CDC20	Gene-Term
1293	TRIP13	Gene-Term
1293	KPNA2	Gene-Term
1293	PLK2	Gene-Term
1294	ALCAM	Gene-Term
1294	GRASP	Gene-Term
1294	CNTN6	Gene-Term
1294	CD6	Gene-Term
1295	UBA52	Gene-Term
1295	USP14	Gene-Term
1295	VCP	Gene-Term
1295	PLAA	Gene-Term
1296	EPHA4	Gene-Term
1296	SYT13	Gene-Term
1296	RPS3	Gene-Term
1296	MKLN1	Gene-Term
1297	DOC2A	Gene-Term
1297	PRRT2	Gene-Term
1297	CORO1A	Gene-Term
1297	KCTD13	Gene-Term
1298	NCSTN	Gene-Term
1298	PSENEN	Gene-Term
1298	APH1A	Gene-Term
1298	CNTN6	Gene-Term
1299	RAB3A	Gene-Term
1299	RAB3GAP1	Gene-Term
1299	DMXL2	Gene-Term
1299	RAB3GAP2	Gene-Term
1300	ATP1A3	Gene-Term
1300	ATP1A1	Gene-Term
1300	ATP1A2	Gene-Term
1300	ATP6V0D1	Gene-Term
1300	FXYD6	Gene-Term
1301	KCNC1	Gene-Term
1301	KCNQ2	Gene-Term
1301	KIF1A	Gene-Term
1301	ANK3	Gene-Term
1301	KIF5C	Gene-Term
1302	PTPRS	Gene-Term
1302	GPC6	Gene-Term
1302	GPC4	Gene-Term
1302	GPC1	Gene-Term
1302	LRRTM4	Gene-Term
1303	EEA1	Gene-Term
1303	RAB5C	Gene-Term
1303	RAB5A	Gene-Term
1303	RAB5B	Gene-Term
1303	ALS2	Gene-Term
1304	APP	Gene-Term
1304	CASR	Gene-Term
1304	GRM5	Gene-Term
1304	GRM1	Gene-Term
1304	FYN	Gene-Term
1305	KCNC1	Gene-Term
1305	KCND2	Gene-Term
1305	CADPS	Gene-Term
1305	NCS1	Gene-Term
1305	IL1RAPL1	Gene-Term
1306	MYO7A	Gene-Term
1306	OTOF	Gene-Term
1306	CALB2	Gene-Term
1306	SLC17A8	Gene-Term
1306	CTBP2	Gene-Term
1307	UBA52	Gene-Term
1307	WNT3A	Gene-Term
1307	LRP6	Gene-Term
1307	FZD5	Gene-Term
1307	USP8	Gene-Term
1308	USH2A	Gene-Term
1308	CLRN1	Gene-Term
1308	TULP1	Gene-Term
1308	CNGB1	Gene-Term
1308	PRPH2	Gene-Term
1309	DVL1	Gene-Term
1309	WNT3A	Gene-Term
1309	LRP6	Gene-Term
1309	FZD5	Gene-Term
1309	PI4K2A	Gene-Term
1310	CAMK2B	Gene-Term
1310	PDE4B	Gene-Term
1310	ADCY8	Gene-Term
1310	ADCY1	Gene-Term
1310	CAMK4	Gene-Term
1311	PPP2CA	Gene-Term
1311	HTR3A	Gene-Term
1311	RAB3C	Gene-Term
1311	CTTNBP2	Gene-Term
1311	MOB4	Gene-Term
1312	DLG4	Gene-Term
1312	DBN1	Gene-Term
1312	HOMER1	Gene-Term
1312	HOMER3	Gene-Term
1312	HOMER2	Gene-Term
1313	CAD	Gene-Term
1313	GAD1	Gene-Term
1313	GAD2	Gene-Term
1313	GLUL	Gene-Term
1313	GOT1	Gene-Term
1314	LAMA2	Gene-Term
1314	LAMA5	Gene-Term
1314	SV2A	Gene-Term
1314	SV2B	Gene-Term
1314	SV2C	Gene-Term
1315	NRXN1	Gene-Term
1315	STX1A	Gene-Term
1315	NRXN2	Gene-Term
1315	CASK	Gene-Term
1315	APBA3	Gene-Term
1316	CNR1	Gene-Term
1316	ABHD6	Gene-Term
1316	DAGLA	Gene-Term
1316	DAGLB	Gene-Term
1316	NAAA	Gene-Term
1317	CDH1	Gene-Term
1317	CORO1C	Gene-Term
1317	SLC6A3	Gene-Term
1317	FLOT1	Gene-Term
1317	FLOT2	Gene-Term
1318	STRN	Gene-Term
1318	PPP2CA	Gene-Term
1318	CTTNBP2	Gene-Term
1318	STRN4	Gene-Term
1318	MOB4	Gene-Term
1319	CACNA1D	Gene-Term
1319	CACNA1C	Gene-Term
1319	GNG3	Gene-Term
