Parent	Child	EdgeType
1283	PURA	Gene-Term
1283	FMR1	Gene-Term
1284	UNC13B	Gene-Term
1284	CADPS	Gene-Term
1285	SYNJ2	Gene-Term
1285	SYNJ2BP	Gene-Term
1286	XBP1	Gene-Term
1286	MANF	Gene-Term
1287	DMD	Gene-Term
1287	EGFLAM	Gene-Term
1288	ANKS1B	Gene-Term
1288	TRIP4	Gene-Term
1289	INA	Gene-Term
1289	TANC1	Gene-Term
1290	STX1A	Gene-Term
1290	SNPH	Gene-Term
1291	CALM1	Gene-Term
1291	PPEF2	Gene-Term
1292	DGKQ	Gene-Term
1292	PLD2	Gene-Term
1293	FLNA	Gene-Term
1293	TMLHE	Gene-Term
1294	PIN1	Gene-Term
1294	SYAP1	Gene-Term
1295	SNTA1	Gene-Term
1295	MAGEE1	Gene-Term
1296	DGKI	Gene-Term
1296	PLCB3	Gene-Term
1297	SYT7	Gene-Term
1297	PALM	Gene-Term
1298	PRNP	Gene-Term
1298	CRYAB	Gene-Term
1299	DAGLA	Gene-Term
1299	DAGLB	Gene-Term
1300	RPL3	Gene-Term
1300	SLC1A2	Gene-Term
1301	BCR	Gene-Term
1301	SH2D5	Gene-Term
1302	NLGN2	Gene-Term
1302	LHFPL4	Gene-Term
1303	CALY	Gene-Term
1303	IGSF11	Gene-Term
1304	TMUB1	Gene-Term
1304	NSG1	Gene-Term
1305	CYP46A1	Gene-Term
1305	CEL	Gene-Term
1306	SPARCL1	Gene-Term
1306	FAM107A	Gene-Term
1307	RPL6	Gene-Term
1307	CAPRIN2	Gene-Term
1308	UNC119	Gene-Term
1308	LZTS1	Gene-Term
1309	DBN1	Gene-Term
1309	ZMYND8	Gene-Term
1310	SYPL1	Gene-Term
1310	SCAMP1	Gene-Term
1311	FCGR2B	Gene-Term
1311	BCR	Gene-Term
1312	SYTL1	Gene-Term
1312	RAB27A	Gene-Term
1313	DTNA	Gene-Term
1313	DRP2	Gene-Term
1314	MAF1	Gene-Term
1314	GATAD2B	Gene-Term
1315	DTNA	Gene-Term
1315	SYNC	Gene-Term
1316	REC114	Gene-Term
1316	MEI4	Gene-Term
1317	HSPA8	Gene-Term
1317	SGTA	Gene-Term
1318	SEMA4F	Gene-Term
1318	PLEKHA5	Gene-Term
1319	PLEKHG5	Gene-Term
1319	MPDZ	Gene-Term
1320	CRHR2	Gene-Term
1320	CRHBP	Gene-Term
1321	SYNC	Gene-Term
1321	DES	Gene-Term
1322	MICAL1	Gene-Term
1322	RAB10	Gene-Term
1323	TOR1A	Gene-Term
1323	ATCAY	Gene-Term
1324	CDC42	Gene-Term
1324	CDC42SE1	Gene-Term
1325	CAMKV	Gene-Term
1325	VAT1L	Gene-Term
1326	USH1C	Gene-Term
1326	SLC4A7	Gene-Term
1327	PPP1CA	Gene-Term
1327	PPP1R9A	Gene-Term
1328	LLPH	Gene-Term
1328	ARHGAP33	Gene-Term
1329	GABRR2	Gene-Term
1329	GABRR1	Gene-Term
1330	PRPH	Gene-Term
1330	C1QL4	Gene-Term
1331	DLG5	Gene-Term
1331	TANC2	Gene-Term
1332	CALM1	Gene-Term
1332	ATP2B1	Gene-Term
1333	ADAM10	Gene-Term
1333	HMGCR	Gene-Term
1334	SNCB	Gene-Term
1334	RAB3A	Gene-Term
1335	CAMK2N1	Gene-Term
1335	CLCN3	Gene-Term
1336	SLC18A2	Gene-Term
1336	SLC6A2	Gene-Term
1337	TBR1	Gene-Term
1337	TSPYL2	Gene-Term
1338	DAOA	Gene-Term
1338	DTNBP1	Gene-Term
1339	CNGB1	Gene-Term
1339	PRPH2	Gene-Term
1340	CNIH2	Gene-Term
1340	SYNGR3	Gene-Term
1341	C1QL1	Gene-Term
1341	BAI3	Gene-Term
1342	GRIP1	Gene-Term
1342	GRIPAP1	Gene-Term
1343	PSEN2	Gene-Term
1343	SRI	Gene-Term
1344	SLC16A3	Gene-Term
1344	EMB	Gene-Term
1345	CPEB4	Gene-Term
1345	CPEB1	Gene-Term
1346	SLC9A6	Gene-Term
1346	SLC9B2	Gene-Term
1347	GABRE	Gene-Term
1347	PLCL1	Gene-Term
1348	RPS3	Gene-Term
1348	MKLN1	Gene-Term
1349	DNM2	Gene-Term
1349	LYPD6	Gene-Term
1350	RAB27A	Gene-Term
1350	SYTL3	Gene-Term
1351	BRSK1	Gene-Term
1351	SYCP2L	Gene-Term
1352	SYPL2	Gene-Term
1352	CLSTN3	Gene-Term
1353	PTCHD1	Gene-Term
1353	DLGAP2	Gene-Term
1354	CTNNB1	Gene-Term
1354	DACT1	Gene-Term
1355	EIF2B3	Gene-Term
1355	PALMD	Gene-Term
1356	FOXP2	Gene-Term
1356	SRPX2	Gene-Term
1357	UBA52	Gene-Term
1357	USP48	Gene-Term
1358	CACNA1C	Gene-Term
1358	CABP1	Gene-Term
1359	SLC18A1	Gene-Term
1359	SLC16A1	Gene-Term
1360	ILK	Gene-Term
1360	SYNPO2	Gene-Term
1361	SERPINI1	Gene-Term
1361	PREPL	Gene-Term
1362	EIF2S1	Gene-Term
1362	DARS	Gene-Term
1363	GRID2	Gene-Term
1363	CBLN3	Gene-Term
1364	CALM1	Gene-Term
1364	NRGN	Gene-Term
1365	SLC30A3	Gene-Term
1365	AP3D1	Gene-Term
1366	MINK1	Gene-Term
1366	CHRNE	Gene-Term
1367	NRG3	Gene-Term
1367	CADPS2	Gene-Term
1368	TMED9	Gene-Term
1368	PRR7	Gene-Term
1369	DDC	Gene-Term
1369	SLC17A5	Gene-Term
1370	FUS	Gene-Term
1370	CHRFAM7A	Gene-Term
1371	GABRG2	Gene-Term
1371	TTYH1	Gene-Term
1372	GNG3	Gene-Term
1372	RGS10	Gene-Term
1373	ITSN1	Gene-Term
1373	FCHSD1	Gene-Term
1374	BSN	Gene-Term
1374	TPRG1L	Gene-Term
1375	GPM6A	Gene-Term
1375	CLCN3	Gene-Term
1376	DROSHA	Gene-Term
1376	XRN1	Gene-Term
1377	SLC6A17	Gene-Term
1377	TEX15	Gene-Term
1378	NDFIP1	Gene-Term
1378	NEDD4	Gene-Term
1379	DISC1	Gene-Term
1379	ZNF365	Gene-Term
1380	SYNDIG1	Gene-Term
1380	GSG1L	Gene-Term
1381	PRKACA	Gene-Term
1381	KCNK2	Gene-Term
1382	SPG11	Gene-Term
1382	ALS2	Gene-Term
1383	COMT	Gene-Term
1383	MTHFR	Gene-Term
1384	SEMA4C	Gene-Term
1384	CHST10	Gene-Term
1385	ACHE	Gene-Term
1385	PRIMA1	Gene-Term
1386	CAMK2A	Gene-Term
1386	GRID1	Gene-Term
1387	TRIP13	Gene-Term
1387	HORMAD2	Gene-Term
1388	ARC	Gene-Term
1388	RNF216	Gene-Term
1389	SPARC	Gene-Term
1389	SPOCK1	Gene-Term
1390	STX12	Gene-Term
1390	NSG1	Gene-Term
1391	GABRG2	Gene-Term
1391	KCTD8	Gene-Term
1392	PRKCB	Gene-Term
1392	MARCKS	Gene-Term
1393	SNCB	Gene-Term
1393	KCTD16	Gene-Term
1394	TRIP4	Gene-Term
1394	ASCC1	Gene-Term
1395	GNRH1	Gene-Term
1395	NSMF	Gene-Term
1396	NOS1	Gene-Term
1396	NOS1AP	Gene-Term
1397	MYCBP2	Gene-Term
1397	FBXO45	Gene-Term
1398	RGMA	Gene-Term
1398	MCTP2	Gene-Term
1399	CTBP2	Gene-Term
1399	CTBP1	Gene-Term
1400	DLG4	Gene-Term
1400	ANKS1B	Gene-Term
1401	CTNNB1	Gene-Term
1401	TNIK	Gene-Term
1402	RHOA	Gene-Term
1402	FARP1	Gene-Term
1403	DNM1L	Gene-Term
1403	MFF	Gene-Term
1404	SCRIB	Gene-Term
1404	FZD3	Gene-Term
1405	IGSF9B	Gene-Term
1405	ELFN1	Gene-Term
1406	CDC42	Gene-Term
1406	DNMBP	Gene-Term
1407	RGS7	Gene-Term
1407	RGS7BP	Gene-Term
1408	PORCN	Gene-Term
1408	RUSC1	Gene-Term
1409	SNAP25	Gene-Term
1409	ZDHHC3	Gene-Term
1410	JAK2	Gene-Term
1410	DNAJA3	Gene-Term
1411	GRID2	Gene-Term
1411	GRID2IP	Gene-Term
1412	RGS7BP	Gene-Term
1412	RGS10	Gene-Term
1413	ABHD17C	Gene-Term
1413	TMEM240	Gene-Term
1414	NEFL	Gene-Term
1414	MTMR2	Gene-Term
1415	SLC8A2	Gene-Term
1415	SLC8A3	Gene-Term
1416	KCNC3	Gene-Term
1416	ELFN1	Gene-Term
1417	FAIM2	Gene-Term
1417	CADM2	Gene-Term
1418	RAB6B	Gene-Term
1418	IGSF21	Gene-Term
1419	REC114	Gene-Term
1419	CCDC36	Gene-Term
1420	HORMAD1	Gene-Term
1420	PSMC3IP	Gene-Term
1421	MYCBP2	Gene-Term
1421	KCTD12	Gene-Term
1422	SYNPR	Gene-Term
1422	SVOP	Gene-Term
1423	JAK2	Gene-Term
1423	IL31RA	Gene-Term
1424	CD47	Gene-Term
1424	SIRPA	Gene-Term
1425	ATP6V0D1	Gene-Term
1425	ATP6V1B1	Gene-Term
1426	SH3GL1	Gene-Term
1426	ABHD17A	Gene-Term
1427	AKT1	Gene-Term
1427	EGLN1	Gene-Term
1428	LRRTM1	Gene-Term
1428	CLSTN3	Gene-Term
1429	CADM1	Gene-Term
1429	EPB41L3	Gene-Term
1430	TENM2	Gene-Term
1430	LPHN1	Gene-Term
1431	SYNPO2	Gene-Term
1431	SCGN	Gene-Term
1432	LPHN3	Gene-Term
1432	FLRT3	Gene-Term
1433	CHAT	Gene-Term
1433	CHRNA10	Gene-Term
1434	GHRL	Gene-Term
1434	GHSR	Gene-Term
1435	RAD21L1	Gene-Term
1435	SMC1B	Gene-Term
1436	TEX11	Gene-Term
1436	SYCP2	Gene-Term
1437	CNTN2	Gene-Term
1437	CNTNAP2	Gene-Term
1438	TUBA1A	Gene-Term
1438	TUBB2B	Gene-Term
1439	OLFM2	Gene-Term
1439	OLFM1	Gene-Term
1440	UTRN	Gene-Term
1440	CNN3	Gene-Term
1441	CDH8	Gene-Term
1441	TMEM163	Gene-Term
1442	MTOR	Gene-Term
1442	MAF1	Gene-Term
1443	LRFN3	Gene-Term
1443	PRODH2	Gene-Term
1444	MECP2	Gene-Term
1444	CDKL5	Gene-Term
1445	PPFIA3	Gene-Term
1445	DSCAML1	Gene-Term
1446	LAMA2	Gene-Term
1446	ZC4H2	Gene-Term
1447	KCNJ4	Gene-Term
1447	BAALC	Gene-Term
1448	ARHGAP44	Gene-Term
1448	SNX14	Gene-Term
1449	RIMS2	Gene-Term
1449	RIMBP2	Gene-Term
1450	VPS18	Gene-Term
1450	ARL8B	Gene-Term
1451	SLC6A2	Gene-Term
1451	SLC22A2	Gene-Term
1452	DMXL2	Gene-Term
1452	RAB3GAP2	Gene-Term
1453	COPS5	Gene-Term
1453	USP50	Gene-Term
1454	GAK	Gene-Term
1454	DCLK1	Gene-Term
1455	AKT1	Gene-Term
1455	CCDC88A	Gene-Term
1456	PRKACA	Gene-Term
1456	SLC8A1	Gene-Term
1457	GAK	Gene-Term
