Parent	Child	EdgeType
1283	MINK1	Gene-Term
1283	CHRNE	Gene-Term
1284	UNC119	Gene-Term
1284	LZTS1	Gene-Term
1285	MYCBP2	Gene-Term
1285	NMNAT2	Gene-Term
1285	FBXO45	Gene-Term
1286	IL1RAPL2	Gene-Term
1286	PTPRD	Gene-Term
1286	SLITRK4	Gene-Term
1287	C11orf85	Gene-Term
1287	CCDC79	Gene-Term
1287	C15orf43	Gene-Term
1288	MAPK1	Gene-Term
1288	ELK1	Gene-Term
1288	PRRT2	Gene-Term
1289	DMXL2	Gene-Term
1289	ATP6V0D1	Gene-Term
1289	ATP6V1B1	Gene-Term
1290	MAPK8IP2	Gene-Term
1290	MAPK8IP1	Gene-Term
1290	PTPRN	Gene-Term
1291	GABRE	Gene-Term
1291	CHRND	Gene-Term
1291	ZACN	Gene-Term
1292	CRHR2	Gene-Term
1292	UCN	Gene-Term
1292	CRHBP	Gene-Term
1293	GSG1L	Gene-Term
1293	VWC2	Gene-Term
1293	NRN1	Gene-Term
1294	PPP1CA	Gene-Term
1294	RGMA	Gene-Term
1294	BMPR2	Gene-Term
1295	DBN1	Gene-Term
1295	TMED9	Gene-Term
1295	PRR7	Gene-Term
1296	LAMP5	Gene-Term
1296	PLEKHA5	Gene-Term
1296	CBLN2	Gene-Term
1297	LRFN3	Gene-Term
1297	FLOT1	Gene-Term
1297	FLOT2	Gene-Term
1298	COL4A5	Gene-Term
1298	ITGB1	Gene-Term
1298	COL13A1	Gene-Term
1299	DYSF	Gene-Term
1299	RPL5	Gene-Term
1299	SYPL2	Gene-Term
1299	ADD2	Gene-Term
1300	DOC2A	Gene-Term
1300	PRRT2	Gene-Term
1300	CORO1A	Gene-Term
1300	KCTD13	Gene-Term
1301	NCSTN	Gene-Term
1301	PSENEN	Gene-Term
1301	APH1A	Gene-Term
1301	CNTN6	Gene-Term
1302	HDAC4	Gene-Term
1302	SUMO1	Gene-Term
1302	HTT	Gene-Term
1302	CTBP1	Gene-Term
1303	PRKAR1A	Gene-Term
1303	SPTBN1	Gene-Term
1303	PJA2	Gene-Term
1303	CDK5R1	Gene-Term
1304	C1QB	Gene-Term
1304	C1QC	Gene-Term
1304	C4A	Gene-Term
1304	C4B	Gene-Term
1305	APP	Gene-Term
1305	APOE	Gene-Term
1305	CYP46A1	Gene-Term
1305	HMGCR	Gene-Term
1306	RAB3A	Gene-Term
1306	RAB3GAP1	Gene-Term
1306	DMXL2	Gene-Term
1306	RAB3GAP2	Gene-Term
1307	UBA52	Gene-Term
1307	USP14	Gene-Term
1307	VCP	Gene-Term
1307	PLAA	Gene-Term
1308	RHOA	Gene-Term
1308	CDC42	Gene-Term
1308	RAC1	Gene-Term
1308	ABR	Gene-Term
1309	PICK1	Gene-Term
1309	SGTA	Gene-Term
1309	TMUB1	Gene-Term
1309	NSG1	Gene-Term
1310	ALCAM	Gene-Term
1310	GRASP	Gene-Term
1310	CNTN6	Gene-Term
1310	CD6	Gene-Term
1311	PLK2	Gene-Term
1311	SYNPO	Gene-Term
1311	NEDD4	Gene-Term
1311	RAPGEF2	Gene-Term
1312	LRRC7	Gene-Term
1312	CYFIP1	Gene-Term
1312	RAB27A	Gene-Term
1312	CHI3L1	Gene-Term
1313	SNPH	Gene-Term
1313	BAI3	Gene-Term
1313	HAP1	Gene-Term
1313	TMEM163	Gene-Term
1313	C1QL3	Gene-Term
1314	UNC119	Gene-Term
1314	FYN	Gene-Term
1314	PAG1	Gene-Term
1314	CD3E	Gene-Term
1314	GZMA	Gene-Term
1315	STAC3	Gene-Term
1315	SARM1	Gene-Term
1315	NMNAT2	Gene-Term
1315	ZNRF1	Gene-Term
1315	KMO	Gene-Term
1316	CNR1	Gene-Term
1316	ABHD6	Gene-Term
1316	DAGLA	Gene-Term
1316	DAGLB	Gene-Term
1316	NAAA	Gene-Term
1317	PLAT	Gene-Term
1317	SERPINI1	Gene-Term
1317	CLSTN1	Gene-Term
1317	PSD3	Gene-Term
1317	PREPL	Gene-Term
1318	ABCC8	Gene-Term
1318	ABHD6	Gene-Term
1318	EIF2B3	Gene-Term
1318	PALMD	Gene-Term
1318	FBXL20	Gene-Term
1319	HDAC4	Gene-Term
1319	EIF2B2	Gene-Term
1319	DRP2	Gene-Term
1319	MAP1LC3A	Gene-Term
1319	MAP1S	Gene-Term
1320	ARL8A	Gene-Term
1320	ARL8B	Gene-Term
1320	KIF1A	Gene-Term
1320	IGSF21	Gene-Term
1320	NEDD4	Gene-Term
1321	GRID2IP	Gene-Term
1321	ROR1	Gene-Term
1321	DAGLB	Gene-Term
1321	BMPR2	Gene-Term
1321	DNMBP	Gene-Term
1322	USH1C	Gene-Term
1322	FRMPD4	Gene-Term
1322	DDN	Gene-Term
1322	RIMS3	Gene-Term
1322	CDK16	Gene-Term
1323	USH2A	Gene-Term
1323	CLRN1	Gene-Term
1323	TULP1	Gene-Term
1323	CNGB1	Gene-Term
1323	PRPH2	Gene-Term
1324	DMTN	Gene-Term
1324	MARCKS	Gene-Term
1324	ADD2	Gene-Term
1324	ADD3	Gene-Term
1324	ADD1	Gene-Term
1325	ABHD17A	Gene-Term
1325	ABHD6	Gene-Term
1325	EIF2B3	Gene-Term
1325	ABHD17C	Gene-Term
1325	ABHD17B	Gene-Term
1326	MICAL1	Gene-Term
1326	IQSEC3	Gene-Term
1326	ERC1	Gene-Term
1326	PHLDB2	Gene-Term
1326	BCL11A	Gene-Term
1327	EIF2S1	Gene-Term
1327	EIF2B1	Gene-Term
1327	EIF2B2	Gene-Term
1327	EIF2B5	Gene-Term
1327	EIF2B3	Gene-Term
1327	EIF2B4	Gene-Term
1328	AP2B1	Gene-Term
1328	CLTA	Gene-Term
1328	WNT5A	Gene-Term
1328	CLTB	Gene-Term
1328	FZD5	Gene-Term
1328	ROR1	Gene-Term
1329	IQSEC3	Gene-Term
1329	SEMA4F	Gene-Term
1329	KIF21B	Gene-Term
1329	PDZD11	Gene-Term
1329	PLEKHA5	Gene-Term
1329	CC2D1A	Gene-Term
1330	ANKS1B	Gene-Term
1330	TRIP4	Gene-Term
1330	CSNK1G1	Gene-Term
1330	CRHBP	Gene-Term
1330	CC2D1A	Gene-Term
1330	ASCC1	Gene-Term
1331	GSK3B	Gene-Term
1331	RAPGEF4	Gene-Term
1331	KCNA6	Gene-Term
1331	CEP112	Gene-Term
1331	CCDC79	Gene-Term
1331	FARP1	Gene-Term
1332	TENM2	Gene-Term
1332	NTNG1	Gene-Term
1332	CDH13	Gene-Term
1332	SDK2	Gene-Term
1332	FZD9	Gene-Term
1332	FLRT2	Gene-Term
1333	RTN4R	Gene-Term
1333	TENM2	Gene-Term
1333	LPHN1	Gene-Term
1333	LRIT3	Gene-Term
1333	FLRT3	Gene-Term
1333	FLRT2	Gene-Term
1334	SYNGR2	Gene-Term
1334	DYSF	Gene-Term
1334	SYNGR4	Gene-Term
1334	SYPL2	Gene-Term
1334	CLSTN2	Gene-Term
1334	CLSTN3	Gene-Term
1335	DRD3	Gene-Term
1335	TC2N	Gene-Term
1335	EIF2B3	Gene-Term
1335	PALMD	Gene-Term
1335	RGS14	Gene-Term
1335	ABLIM3	Gene-Term
1336	VCP	Gene-Term
1336	SIGMAR1	Gene-Term
1336	SPG11	Gene-Term
1336	FUS	Gene-Term
1336	CHMP2B	Gene-Term
1336	ALS2	Gene-Term
1337	CALY	Gene-Term
1337	STX16	Gene-Term
1337	GABRQ	Gene-Term
1337	SYTL4	Gene-Term
1337	CADPS	Gene-Term
1337	BAIAP3	Gene-Term
1338	CYFIP1	Gene-Term
1338	FXR1	Gene-Term
1338	CYFIP2	Gene-Term
1338	FMR1	Gene-Term
1338	FXR2	Gene-Term
1338	CAPRIN1	Gene-Term
1338	NUFIP1	Gene-Term
1339	EPHB1	Gene-Term
1339	NRCAM	Gene-Term
1339	ITGA3	Gene-Term
1339	TENM2	Gene-Term
1339	ERC1	Gene-Term
1339	ERC2	Gene-Term
1339	KPNA1	Gene-Term
1340	THY1	Gene-Term
1340	NTNG1	Gene-Term
1340	NTNG2	Gene-Term
1340	CNTN4	Gene-Term
1340	CNTN5	Gene-Term
1340	MDGA1	Gene-Term
1340	NRN1	Gene-Term
1341	AKAP5	Gene-Term
1341	SHANK1	Gene-Term
1341	SHANK2	Gene-Term
1341	PTPRA	Gene-Term
1341	DBNL	Gene-Term
1341	SIPA1L1	Gene-Term
1341	LZTS3	Gene-Term
1342	SNTB2	Gene-Term
1342	CAV3	Gene-Term
1342	DMD	Gene-Term
1342	SNTA1	Gene-Term
1342	SNTB1	Gene-Term
1342	UTRN	Gene-Term
1342	SSPN	Gene-Term
1343	CDH1	Gene-Term
1343	SRC	Gene-Term
1343	SYP	Gene-Term
1343	SNAP25	Gene-Term
1343	CTTN	Gene-Term
1343	SNAPIN	Gene-Term
1343	SRCIN1	Gene-Term
1344	RHOA	Gene-Term
1344	SHANK1	Gene-Term
1344	CDC42	Gene-Term
1344	SH3KBP1	Gene-Term
1344	RAC1	Gene-Term
1344	LRRC4B	Gene-Term
1344	ARHGAP44	Gene-Term
1345	WBP2	Gene-Term
1345	DBN1	Gene-Term
1345	EIF2B5	Gene-Term
1345	TSPYL2	Gene-Term
1345	ZMYND8	Gene-Term
1345	ARHGEF15	Gene-Term
1345	GATAD2B	Gene-Term
1346	SEPT5	Gene-Term
1346	SEPT8	Gene-Term
1346	SEPT6	Gene-Term
1346	SEPT3	Gene-Term
1346	SEPT4	Gene-Term
1346	SEPT11	Gene-Term
1346	SEPT1	Gene-Term
1347	ATP2B2	Gene-Term
1347	CRKL	Gene-Term
1347	UBA52	Gene-Term
1347	HSPA8	Gene-Term
1347	PDZD11	Gene-Term
1347	HNRNPH2	Gene-Term
1347	PLEKHA5	Gene-Term
1348	SLITRK2	Gene-Term
1348	SLITRK1	Gene-Term
1348	C1QBP	Gene-Term
1348	LRRC4B	Gene-Term
1348	IL1RAP	Gene-Term
1348	LRFN5	Gene-Term
1348	SLITRK4	Gene-Term
1349	TOR1A	Gene-Term
1349	UBA52	Gene-Term
1349	STON2	Gene-Term
1349	COPS5	Gene-Term
1349	COPS4	Gene-Term
1349	FBXO2	Gene-Term
1349	FBXL20	Gene-Term
1350	TOR1A	Gene-Term
1350	TUFM	Gene-Term
1350	CDKL5	Gene-Term
1350	NPTX2	Gene-Term
1350	DNAJA3	Gene-Term
1350	DNM1L	Gene-Term
1350	POLG	Gene-Term
1351	UBA52	Gene-Term
1351	VCP	Gene-Term
1351	SIGMAR1	Gene-Term
1351	KCNC3	Gene-Term
1351	PI4K2A	Gene-Term
1351	CHMP2B	Gene-Term
1351	USP8	Gene-Term
1352	ITGB3	Gene-Term
1352	SLC6A4	Gene-Term
1352	COMT	Gene-Term
1352	FGB	Gene-Term
1352	ATP2B1	Gene-Term
1352	APOE	Gene-Term
1352	MTHFR	Gene-Term
1353	ACTR2	Gene-Term
1353	VCP	Gene-Term
1353	UNC13D	Gene-Term
1353	VAT1	Gene-Term
1353	GDI2	Gene-Term
1353	MAPK1	Gene-Term
1353	FABP5	Gene-Term
1354	GRIK2	Gene-Term
1354	DLG1	Gene-Term
1354	DLG4	Gene-Term
1354	GRIK4	Gene-Term
1354	GRIK5	Gene-Term
1354	DLG3	Gene-Term
1354	GRIK1	Gene-Term
1354	GRIK3	Gene-Term
1355	GABRG2	Gene-Term
1355	GABRG1	Gene-Term
1355	SNCB	Gene-Term
1355	DLGAP1	Gene-Term
1355	GABRB2	Gene-Term
1355	GABRA4	Gene-Term
1355	GABRB1	Gene-Term
1355	KCTD8	Gene-Term
1356	SLITRK2	Gene-Term
1356	SLITRK1	Gene-Term
1356	RNF112	Gene-Term
1356	IL1RAP	Gene-Term
1356	PTPRD	Gene-Term
1356	NETO1	Gene-Term
1356	ARHGAP44	Gene-Term
1356	SLITRK4	Gene-Term
1357	SYCP3	Gene-Term
1357	SYCP2	Gene-Term
1357	SYCP1	Gene-Term
1357	SYNE1	Gene-Term
1357	SYCE1	Gene-Term
1357	SMC1B	Gene-Term
1357	SYCE2	Gene-Term
1357	SYCE3	Gene-Term
1358	AGRN	Gene-Term
1358	LRP8	Gene-Term
1358	APOE	Gene-Term
1358	BCAN	Gene-Term
1358	GPC6	Gene-Term
1358	GPC4	Gene-Term
1358	GPC1	Gene-Term
1358	CSPG5	Gene-Term
1359	AGRN	Gene-Term
1359	PTK2B	Gene-Term
1359	SRC	Gene-Term
1359	PTK2	Gene-Term
1359	MUSK	Gene-Term
1359	RAPSN	Gene-Term
1359	CHRNG	Gene-Term
1359	CHRNB1	Gene-Term
1360	SNAP29	Gene-Term
1360	RAB5C	Gene-Term
1360	LAMP1	Gene-Term
1360	PSEN1	Gene-Term
1360	DNAJC5	Gene-Term
1360	ARL8A	Gene-Term
1360	SYNGR1	Gene-Term
1360	NCSTN	Gene-Term
1361	PRKACA	Gene-Term
1361	ACTB	Gene-Term
1361	SNCA	Gene-Term
1361	ACTC1	Gene-Term
1361	DMTN	Gene-Term
1361	SPTBN2	Gene-Term
1361	ANK1	Gene-Term
1361	EPB41	Gene-Term
1362	RAB3A	Gene-Term
1362	GDI2	Gene-Term
1362	RAB6B	Gene-Term
1362	RAB18	Gene-Term
1362	RAB3GAP1	Gene-Term
1362	RAB3GAP2	Gene-Term
1362	DCTN2	Gene-Term
1362	DYNLL2	Gene-Term
1363	PPP2CA	Gene-Term
1363	PPP1CC	Gene-Term
1363	CDC42	Gene-Term
1363	CDC20	Gene-Term
1363	RPS27	Gene-Term
1363	NDE1	Gene-Term
1363	DYNLL2	Gene-Term
1363	NDEL1	Gene-Term
1364	CHRNB4	Gene-Term
1364	SNAP25	Gene-Term
1364	SNAP23	Gene-Term
1364	ADAM10	Gene-Term
1364	PLD1	Gene-Term
1364	CD47	Gene-Term
1364	KCNAB2	Gene-Term
1364	SIRPA	Gene-Term
1365	EFNA5	Gene-Term
1365	EPS8	Gene-Term
1365	DLG4	Gene-Term
1365	CNTNAP4	Gene-Term
1365	ARHGEF7	Gene-Term
1365	CASK	Gene-Term
1365	MAP1B	Gene-Term
1365	KIRREL3	Gene-Term
1366	SEMA3F	Gene-Term
1366	GIPC1	Gene-Term
1366	PLXND1	Gene-Term
1366	NRP1	Gene-Term
1366	NRP2	Gene-Term
1366	SEMA4C	Gene-Term
1366	SEMA4F	Gene-Term
1366	SEMA3E	Gene-Term
1367	CRKL	Gene-Term
1367	GAK	Gene-Term
1367	RPS6KB1	Gene-Term
1367	HPCA	Gene-Term
1367	RHEB	Gene-Term
1367	BRAF	Gene-Term
1367	MTOR	Gene-Term
1367	MAF1	Gene-Term
1368	DLG1	Gene-Term
1368	DLG4	Gene-Term
1368	DLG3	Gene-Term
1368	DLG2	Gene-Term
1368	CASR	Gene-Term
1368	FMR1	Gene-Term
1368	MPP2	Gene-Term
1368	MAP1S	Gene-Term
1369	AKT1	Gene-Term
1369	SRC	Gene-Term
1369	EGFR	Gene-Term
1369	CYFIP1	Gene-Term
1369	DISC1	Gene-Term
1369	STAT3	Gene-Term
1369	APBB1	Gene-Term
1369	CCDC88A	Gene-Term
1370	DRD2	Gene-Term
1370	ATP1A3	Gene-Term
1370	ATP1A1	Gene-Term
1370	ATP1A2	Gene-Term
1370	ANK2	Gene-Term
1370	ATP2A2	Gene-Term
1370	PRKG2	Gene-Term
1370	FXYD6	Gene-Term
1371	PPP1CA	Gene-Term
1371	PPP1CB	Gene-Term
1371	ACTB	Gene-Term
1371	CYFIP1	Gene-Term
1371	CALM3	Gene-Term
1371	ACTC1	Gene-Term
1371	CALM2	Gene-Term
1371	PHACTR1	Gene-Term
1372	DRD5	Gene-Term
1372	SLC2A4	Gene-Term
1372	LAMP1	Gene-Term
1372	TH	Gene-Term
1372	DDC	Gene-Term
1372	RIMS1	Gene-Term
1372	DRD1	Gene-Term
1372	SLC17A5	Gene-Term
1373	SLC32A1	Gene-Term
1373	VAMP3	Gene-Term
1373	UNC13B	Gene-Term
1373	SLC17A9	Gene-Term
1373	SLC18A3	Gene-Term
1373	SLC18A2	Gene-Term
1373	MYO5A	Gene-Term
1373	SLC18A1	Gene-Term
1374	STX1B	Gene-Term
1374	SYT11	Gene-Term
1374	SYNJ1	Gene-Term
1374	DNAJC6	Gene-Term
1374	SNCA	Gene-Term
1374	TMEM230	Gene-Term
1374	VPS35	Gene-Term
1374	PARK7	Gene-Term
1375	SYT13	Gene-Term
1375	ESYT3	Gene-Term
1375	ESYT1	Gene-Term
1375	ESYT2	Gene-Term
1375	SYT14	Gene-Term
1375	ENSG00000204176	Gene-Term
1375	ENSG00000277758	Gene-Term
1375	SYT16	Gene-Term
1376	MAPK8IP2	Gene-Term
1376	SLC2A8	Gene-Term
1376	ADCYAP1	Gene-Term
1376	RAB3GAP1	Gene-Term
1376	CPLX3	Gene-Term
1376	AKAP12	Gene-Term
1376	TMEM163	Gene-Term
1376	C1QL3	Gene-Term
1377	SLC2A4	Gene-Term
1377	SLC6A2	Gene-Term
1377	SLC6A12	Gene-Term
1377	SLC6A13	Gene-Term
1377	SLC22A2	Gene-Term
1377	PPP1R9A	Gene-Term
1377	SLC8A1	Gene-Term
1377	ADD2	Gene-Term
1378	HSPA8	Gene-Term
1378	HNRNPD	Gene-Term
1378	HNRNPA3	Gene-Term
1378	HNRNPR	Gene-Term
1378	ELAVL1	Gene-Term
1378	EIF4A3	Gene-Term
1378	FUS	Gene-Term
1378	HNRNPH2	Gene-Term
1379	SYNDIG1	Gene-Term
1379	LPHN3	Gene-Term
1379	LPHN1	Gene-Term
1379	NTNG1	Gene-Term
1379	CDH8	Gene-Term
1379	ZNF804A	Gene-Term
1379	FLRT2	Gene-Term
1379	SYNDIG1L	Gene-Term
1380	VAMP7	Gene-Term
1380	VPS18	Gene-Term
1380	LAMP1	Gene-Term
1380	RAB21	Gene-Term
1380	RAB18	Gene-Term
1380	ITPR1	Gene-Term
1380	ARL8B	Gene-Term
1380	KIF1A	Gene-Term
1381	NTF3	Gene-Term
1381	EPHB2	Gene-Term
1381	EPHA4	Gene-Term
1381	SRC	Gene-Term
1381	EGFR	Gene-Term
1381	VCP	Gene-Term
1381	STAT3	Gene-Term
1381	NTRK3	Gene-Term
1381	PTPRO	Gene-Term
1382	EPHA7	Gene-Term
1382	GRIA2	Gene-Term
1382	SNAP25	Gene-Term
1382	CPLX2	Gene-Term
1382	KCNQ2	Gene-Term
1382	NEFL	Gene-Term
1382	KIF5A	Gene-Term
1382	KIF1A	Gene-Term
1382	SEPT3	Gene-Term
1383	ACTB	Gene-Term
1383	CYFIP1	Gene-Term
1383	HIP1R	Gene-Term
1383	ARPC2	Gene-Term
1383	HIP1	Gene-Term
1383	ACTR2	Gene-Term
1383	WASF3	Gene-Term
1383	WASF1	Gene-Term
1383	ARPC5L	Gene-Term
1384	WNT5A	Gene-Term
1384	DVL1	Gene-Term
1384	CTNNB1	Gene-Term
1384	WNT3A	Gene-Term
1384	LRP6	Gene-Term
1384	FZD5	Gene-Term
1384	FZD9	Gene-Term
1384	PORCN	Gene-Term
1384	WNT7A	Gene-Term
1385	LAMA2	Gene-Term
1385	PACSIN1	Gene-Term
1385	GRM2	Gene-Term
1385	ABI2	Gene-Term
1385	CYFIP2	Gene-Term
1385	LRRTM1	Gene-Term
1385	CNTNAP2	Gene-Term
1385	CADM1	Gene-Term
1385	PCDH17	Gene-Term
1386	DGKI	Gene-Term
1386	SLC6A3	Gene-Term
1386	DGKQ	Gene-Term
1386	PRRT2	Gene-Term
1386	DGKZ	Gene-Term
1386	DGKB	Gene-Term
1386	DGKE	Gene-Term
1386	CYP46A1	Gene-Term
1386	CEL	Gene-Term
1387	YWHAZ	Gene-Term
1387	ACTB	Gene-Term
1387	CTNND1	Gene-Term
1387	GSK3B	Gene-Term
1387	DVL1	Gene-Term
1387	CTNNB1	Gene-Term
1387	FXR1	Gene-Term
1387	YWHAE	Gene-Term
1387	DACT1	Gene-Term
1388	GSK3B	Gene-Term
1388	EIF2S1	Gene-Term
1388	EEF2	Gene-Term
1388	EIF4E	Gene-Term
1388	SNCA	Gene-Term
1388	EIF4EBP1	Gene-Term
1388	EIF3B	Gene-Term
1388	GSK3A	Gene-Term
1388	EIF2B5	Gene-Term
1389	COL4A5	Gene-Term
1389	ITGB1	Gene-Term
1389	LYN	Gene-Term
1389	ITGA2	Gene-Term
1389	LAMP1	Gene-Term
1389	MAPK1	Gene-Term
1389	FCGR2B	Gene-Term
1389	GSK3A	Gene-Term
1389	BCR	Gene-Term
1390	PRKACA	Gene-Term
1390	SYN1	Gene-Term
1390	BSN	Gene-Term
1390	RAB3A	Gene-Term
1390	STX1B	Gene-Term
1390	BRSK1	Gene-Term
1390	MAPT	Gene-Term
1390	MAP2	Gene-Term
1390	PPFIA3	Gene-Term
1391	USH1C	Gene-Term
1391	ATP2B4	Gene-Term
1391	ATP2B2	Gene-Term
1391	CIB2	Gene-Term
1391	USH2A	Gene-Term
1391	MYO7A	Gene-Term
1391	PCDH15	Gene-Term
1391	OTOF	Gene-Term
1391	CLRN1	Gene-Term
1392	CACNA1C	Gene-Term
1392	GRIN1	Gene-Term
1392	DNM1	Gene-Term
1392	PSEN1	Gene-Term
1392	STAT3	Gene-Term
1392	MAPT	Gene-Term
1392	YWHAE	Gene-Term
1392	PSEN2	Gene-Term
1392	SRI	Gene-Term
1393	BIN1	Gene-Term
1393	PPP3CC	Gene-Term
1393	PICALM	Gene-Term
1393	SYNJ2	Gene-Term
1393	SYNJ1	Gene-Term
1393	EPS15	Gene-Term
1393	DNM1	Gene-Term
1393	PPP3CB	Gene-Term
1393	PPP3CA	Gene-Term
1394	RHOA	Gene-Term
1394	PPP2CA	Gene-Term
1394	PPP2R2A	Gene-Term
1394	APP	Gene-Term
1394	SYNGAP1	Gene-Term
1394	PTEN	Gene-Term
1394	PLK2	Gene-Term
1394	SNCA	Gene-Term
1394	TSC1	Gene-Term
1394	SIPA1L1	Gene-Term
1395	CHRNB4	Gene-Term
1395	CHRNB2	Gene-Term
1395	CHRNA4	Gene-Term
1395	CHRNA7	Gene-Term
1395	CHRNB3	Gene-Term
1395	CHRNA5	Gene-Term
1395	CHRNA2	Gene-Term
1395	CHRNA3	Gene-Term
1395	CHRNA1	Gene-Term
1395	CHRNA9	Gene-Term
1396	HTR3A	Gene-Term
1396	SLC6A4	Gene-Term
1396	SNCA	Gene-Term
1396	HTR1B	Gene-Term
1396	GLRB	Gene-Term
1396	OPRD1	Gene-Term
1396	HTR2A	Gene-Term
1396	HTR2B	Gene-Term
1396	HTR3E	Gene-Term
1396	HTR3D	Gene-Term
1397	YKT6	Gene-Term
1397	CAD	Gene-Term
1397	TH	Gene-Term
1397	DDC	Gene-Term
1397	GAD1	Gene-Term
1397	PLD1	Gene-Term
1397	PLD2	Gene-Term
1397	GAD2	Gene-Term
1397	GLUL	Gene-Term
1397	GOT1	Gene-Term
1398	CAMK2G	Gene-Term
1398	NRXN1	Gene-Term
1398	UNC13A	Gene-Term
1398	STX3	Gene-Term
1398	UNC13B	Gene-Term
1398	GRIP1	Gene-Term
1398	UNC13C	Gene-Term
1398	APC2	Gene-Term
1398	CTNNA2	Gene-Term
1398	CLSTN2	Gene-Term
1399	CDH1	Gene-Term
1399	BDNF	Gene-Term
1399	SRC	Gene-Term
1399	ACTB	Gene-Term
1399	CTNNB1	Gene-Term
1399	PTEN	Gene-Term
1399	FYN	Gene-Term
1399	FMR1	Gene-Term
1399	KCNJ2	Gene-Term
1399	IGF2BP1	Gene-Term
1400	AKT1	Gene-Term
1400	SH3GL2	Gene-Term
1400	ITSN1	Gene-Term
1400	PICALM	Gene-Term
1400	GAK	Gene-Term
1400	RAB5B	Gene-Term
1400	CLTB	Gene-Term
1400	GDI2	Gene-Term
1400	YWHAE	Gene-Term
1400	DENND1A	Gene-Term
1401	CDH1	Gene-Term
1401	CTNND1	Gene-Term
1401	CDH2	Gene-Term
1401	CTNNB1	Gene-Term
1401	CTNNA1	Gene-Term
1401	CDH15	Gene-Term
1401	CDH9	Gene-Term
1401	CDH8	Gene-Term
1401	CDH13	Gene-Term
1401	CDH11	Gene-Term
1402	GABRG2	Gene-Term
1402	SLC32A1	Gene-Term
1402	SNCB	Gene-Term
1402	GABRD	Gene-Term
1402	LRP8	Gene-Term
1402	SYN1	Gene-Term
