Parent	Child	EdgeType
1680	MAPK1	Gene-Term
1680	RPS6KA1	Gene-Term
1681	CAMK2B	Gene-Term
1681	CAMK2D	Gene-Term
1682	ABI1	Gene-Term
1682	WASF2	Gene-Term
1683	FGA	Gene-Term
1683	F2	Gene-Term
1684	PLCG1	Gene-Term
1684	PDGFRB	Gene-Term
1685	PRKCI	Gene-Term
1685	PARD3	Gene-Term
1686	EGFR	Gene-Term
1686	EGF	Gene-Term
1687	RPS3	Gene-Term
1687	LTV1	Gene-Term
1688	RELA	Gene-Term
1688	CREBBP	Gene-Term
1689	TSC1	Gene-Term
1689	TBC1D7	Gene-Term
1690	DROSHA	Gene-Term
1690	DGCR8	Gene-Term
1691	SNAP29	Gene-Term
1691	STX17	Gene-Term
1692	ACTB	Gene-Term
1692	CFL1	Gene-Term
1693	RPS18	Gene-Term
1693	EIF1AX	Gene-Term
1694	ATP6V0D1	Gene-Term
1694	ATP6V0C	Gene-Term
1695	IGF2BP1	Gene-Term
1695	IGF2BP3	Gene-Term
1696	ARF1	Gene-Term
1696	CYTH2	Gene-Term
1697	CRHR2	Gene-Term
1697	CRH	Gene-Term
1698	SEPT6	Gene-Term
1698	SEPT2	Gene-Term
1699	NRP1	Gene-Term
1699	SEMA3A	Gene-Term
1700	PSMA3	Gene-Term
1700	PSMB10	Gene-Term
1701	ITGB1	Gene-Term
1701	ITGA5	Gene-Term
1702	VPS45	Gene-Term
1702	ZFYVE20	Gene-Term
1703	ANK1	Gene-Term
1703	ITGAM	Gene-Term
1704	FGFR2	Gene-Term
1704	FGF1	Gene-Term
1705	SHARPIN	Gene-Term
1705	RNF31	Gene-Term
1706	BRAF	Gene-Term
1706	MAP2K1	Gene-Term
1707	C1QB	Gene-Term
1707	C1QA	Gene-Term
1708	AGER	Gene-Term
1708	S100B	Gene-Term
1709	PTCH1	Gene-Term
1709	SHH	Gene-Term
1710	VPS4B	Gene-Term
1710	CHMP2B	Gene-Term
1711	DARS	Gene-Term
1711	EPRS	Gene-Term
1712	EIF3A	Gene-Term
1712	EIF3CL	Gene-Term
1713	COPS4	Gene-Term
1713	COPS7B	Gene-Term
1714	STX6	Gene-Term
1714	VPS51	Gene-Term
1715	EGLN1	Gene-Term
1715	HIF1A	Gene-Term
1716	HMGCR	Gene-Term
1716	HMGCS1	Gene-Term
1717	USP46	Gene-Term
1717	WDR48	Gene-Term
1718	YWHAZ	Gene-Term
1718	YWHAB	Gene-Term
1719	C11orf85	Gene-Term
