Parent	Child	EdgeType
1283	PRNP	Gene-Term
1283	CRYAB	Gene-Term
1284	SORCS3	Gene-Term
1284	VPS35	Gene-Term
1285	KCNJ4	Gene-Term
1285	BAALC	Gene-Term
1286	ARHGAP44	Gene-Term
1286	SNX14	Gene-Term
1287	C1QL1	Gene-Term
1287	BAI3	Gene-Term
1288	FLNA	Gene-Term
1288	TMLHE	Gene-Term
1289	PRKACA	Gene-Term
1289	KCNK2	Gene-Term
1290	FUS	Gene-Term
1290	CHRFAM7A	Gene-Term
1291	NRG3	Gene-Term
1291	CADPS2	Gene-Term
1292	DBN1	Gene-Term
1292	ZMYND8	Gene-Term
1293	GABRE	Gene-Term
1293	NR1D1	Gene-Term
1294	DAGLA	Gene-Term
1294	DAGLB	Gene-Term
1295	EIF2S1	Gene-Term
1295	DARS	Gene-Term
1296	PIN1	Gene-Term
1296	SYAP1	Gene-Term
1297	SEPT8	Gene-Term
1297	ZMYND19	Gene-Term
1298	STX1A	Gene-Term
1298	SNPH	Gene-Term
1299	INA	Gene-Term
1299	TANC1	Gene-Term
1300	SYNJ2	Gene-Term
1300	SYNJ2BP	Gene-Term
1301	TNR	Gene-Term
1301	MCTP1	Gene-Term
1302	PRPH	Gene-Term
1302	C1QL4	Gene-Term
1303	PPP1CA	Gene-Term
1303	PPP1R9A	Gene-Term
1304	USH1C	Gene-Term
1304	SLC4A7	Gene-Term
1305	CBLN3	Gene-Term
1305	SYCE1L	Gene-Term
1306	MICAL1	Gene-Term
1306	RAB10	Gene-Term
1307	TOR1A	Gene-Term
1307	ATCAY	Gene-Term
1308	SLC6A2	Gene-Term
1308	SLC22A2	Gene-Term
1309	SEMA4C	Gene-Term
1309	CHST10	Gene-Term
1310	BRSK1	Gene-Term
1310	SYCP2L	Gene-Term
1311	DNM2	Gene-Term
1311	LYPD6	Gene-Term
1312	PORCN	Gene-Term
1312	RUSC1	Gene-Term
1313	SYNPO2	Gene-Term
1313	SCGN	Gene-Term
1314	UTRN	Gene-Term
1314	CNN3	Gene-Term
1315	HPCA	Gene-Term
1315	SYNDIG1L	Gene-Term
1316	JAK2	Gene-Term
1316	IL31RA	Gene-Term
1317	PPP1R9B	Gene-Term
1317	SAMD14	Gene-Term
1318	SHISA6	Gene-Term
1318	PRRT1	Gene-Term
1319	SNTA1	Gene-Term
1319	MAGEE1	Gene-Term
1320	BCR	Gene-Term
1320	SH2D5	Gene-Term
1321	GNRH1	Gene-Term
1321	NSMF	Gene-Term
1322	NLGN2	Gene-Term
1322	LHFPL4	Gene-Term
1323	GNG3	Gene-Term
1323	RGS10	Gene-Term
1324	DISC1	Gene-Term
1324	ZNF365	Gene-Term
1325	STX12	Gene-Term
1325	NSG1	Gene-Term
1326	SLC18A1	Gene-Term
1326	SLC16A1	Gene-Term
1327	RGMA	Gene-Term
1327	MCTP2	Gene-Term
1328	COPS5	Gene-Term
1328	USP50	Gene-Term
1329	GRID2	Gene-Term
1329	CBLN3	Gene-Term
1330	SYNPR	Gene-Term
1330	SYNGR1	Gene-Term
1331	NDFIP1	Gene-Term
1331	NEDD4	Gene-Term
1332	MYCBP2	Gene-Term
1332	FBXO45	Gene-Term
1333	TRIP4	Gene-Term
1333	ASCC1	Gene-Term
1334	ITSN1	Gene-Term
1334	FCHSD2	Gene-Term
1335	NEFL	Gene-Term
1335	MTMR2	Gene-Term
1336	ARF1	Gene-Term
1336	IQSEC2	Gene-Term
1337	ALCAM	Gene-Term
1337	CD6	Gene-Term
1338	SIPA1L1	Gene-Term
1338	LZTS3	Gene-Term
1339	TEX11	Gene-Term
1339	SYCP2	Gene-Term
1340	RAD21L1	Gene-Term
1340	SMC1B	Gene-Term
1341	ATP6V0D1	Gene-Term
1341	ATP6V1B1	Gene-Term
1342	SLC18A3	Gene-Term
1342	SLC5A7	Gene-Term
1343	CDC20	Gene-Term
1343	PLK2	Gene-Term
1344	REC114	Gene-Term
1344	MEI4	Gene-Term
